percent,R,G,B
0.000000,211,0,211
2.000000,222,0,235
4.000000,0,0,0
6.000000,192,0,232
8.000000,196,0,255
10.000000,166,0,233
12.000000,65,0,99
14.000000,137,0,229
16.000000,114,0,210
18.000000,96,0,238
20.000000,4,0,210
22.000000,0,70,191
24.000000,0,151,201
26.000000,0,148,182
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,144,180,0
50.000000,161,161,0
52.000000,195,156,0
54.000000,177,124,0
56.000000,0,0,0
58.000000,172,97,0
60.000000,193,96,0
62.000000,149,70,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
