percent,R,G,B
0.000000,0,0,0
2.000000,194,0,206
4.000000,115,0,130
6.000000,167,0,201
8.000000,163,0,212
10.000000,182,0,255
12.000000,0,0,0
14.000000,126,0,210
16.000000,119,0,220
18.000000,66,0,165
20.000000,3,0,192
22.000000,0,77,213
24.000000,0,148,197
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,189,3
38.000000,17,147,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,93,180,0
46.000000,72,110,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,14,6,0
64.000000,198,87,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,179,56,0
74.000000,117,33,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,164,16,0
88.000000,182,12,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,124,14,0
