percent,R,G,B
0.000000,180,0,180
2.000000,115,0,122
4.000000,103,0,116
6.000000,113,0,136
8.000000,44,0,58
10.000000,112,0,158
12.000000,47,0,72
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,31
22.000000,0,35,96
24.000000,0,0,0
26.000000,0,85,105
28.000000,0,79,91
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,206,30
36.000000,0,232,3
38.000000,0,0,0
40.000000,41,167,0
42.000000,97,255,0
44.000000,0,0,0
46.000000,72,111,0
48.000000,64,81,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,148,7,0
98.000000,169,14,0
100.000000,0,0,0
