wavelength,amplitude
1.539830000000e+03,8.000000000000e+02
1.670788600000e+03,1.000000000000e+03
1.719440000000e+03,8.000000000000e+02
1.721244000000e+03,5.000000000000e+02
1.721271000000e+03,9.000000000000e+02
1.724952000000e+03,5.000000000000e+02
1.724984000000e+03,9.000000000000e+02
1.763869000000e+03,5.000000000000e+02
1.763952000000e+03,7.000000000000e+02
1.765815000000e+03,3.000000000000e+02
1.767731000000e+03,4.000000000000e+02
1.828588000000e+03,6.000000000000e+02
1.858026000000e+03,7.000000000000e+02
1.862311000000e+03,1.000000000000e+03
1.990531000000e+03,7.000000000000e+02
2.094264000000e+03,7.000000000000e+02
2.816185000000e+03,6.000000000000e+02
3.586557000000e+03,4.000000000000e+02
3.900675000000e+03,4.000000000000e+02
4.663056000000e+03,1.000000000000e+03
4.666800000000e+03,6.000000000000e+02
5.593302000000e+03,4.000000000000e+02
6.006410000000e+03,4.000000000000e+02
6.073198000000e+03,4.000000000000e+02
6.183420000000e+03,4.000000000000e+02
6.201463000000e+03,4.000000000000e+02
6.243360000000e+03,4.000000000000e+02
6.335701000000e+03,4.000000000000e+02
