wavelength,amplitude
2.756550000000e+03,4.000000000000e+01
2.812920000000e+03,4.000000000000e+01
2.815282000000e+03,2.000000000000e+02
2.832258000000e+03,1.000000000000e+03
2.888505000000e+03,2.000000000000e+02
2.899562000000e+03,4.000000000000e+01
2.911130000000e+03,4.000000000000e+01
2.920593000000e+03,2.000000000000e+02
2.927534000000e+03,4.000000000000e+01
2.936992000000e+03,4.000000000000e+01
2.950393000000e+03,1.000000000000e+02
2.966712000000e+03,2.000000000000e+02
2.969292000000e+03,2.000000000000e+02
2.987238000000e+03,2.000000000000e+02
2.993508000000e+03,1.000000000000e+02
3.004250000000e+03,2.000000000000e+02
3.027990000000e+03,1.000000000000e+02
3.038363000000e+03,1.000000000000e+02
3.053688000000e+03,4.000000000000e+01
3.120486000000e+03,4.000000000000e+02
3.161826000000e+03,4.000000000000e+01
3.282320000000e+03,1.000000000000e+02
3.286666000000e+03,4.000000000000e+01
3.362546000000e+03,1.000000000000e+02
3.419662000000e+03,4.000000000000e+01
3.452098000000e+03,2.000000000000e+02
3.483308000000e+03,1.000000000000e+03
3.562680000000e+03,4.000000000000e+01
3.696420000000e+03,2.000000000000e+02
3.777504000000e+03,1.000000000000e+03
3.926248000000e+03,1.000000000000e+03
3.952576000000e+03,2.000000000000e+02
4.036365000000e+03,1.000000000000e+02
4.089291000000e+03,1.000000000000e+03
4.188121000000e+03,2.000000000000e+02
4.309652000000e+03,4.000000000000e+01
4.324570000000e+03,4.000000000000e+02
4.441357000000e+03,4.000000000000e+02
4.509450000000e+03,1.000000000000e+03
4.575590000000e+03,1.000000000000e+03
4.593307000000e+03,2.000000000000e+02
4.699700000000e+03,4.000000000000e+02
4.872220000000e+03,4.000000000000e+02
5.020960000000e+03,2.000000000000e+02
5.215990000000e+03,4.000000000000e+01
5.584210000000e+03,2.000000000000e+02
