percent,R,G,B
0.000000,236,0,236
2.000000,206,0,219
4.000000,211,0,238
6.000000,184,0,222
8.000000,179,0,232
10.000000,132,0,185
12.000000,125,0,191
14.000000,118,0,196
16.000000,122,0,225
18.000000,102,0,255
20.000000,4,0,243
22.000000,0,75,205
24.000000,0,124,165
26.000000,0,160,197
28.000000,0,160,183
30.000000,0,179,74
32.000000,0,143,40
34.000000,0,92,13
36.000000,0,121,2
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,91,177,0
46.000000,96,148,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
