wavelength,amplitude
3.343867000000e+03,1.000000000000e+01
3.395010000000e+03,2.000000000000e+01
3.446186000000e+03,2.000000000000e+01
3.510127000000e+03,5.000000000000e+02
3.530948000000e+03,1.000000000000e+02
3.569163000000e+03,5.000000000000e+02
3.603410000000e+03,5.000000000000e+01
3.673121000000e+03,5.000000000000e+02
4.020252000000e+03,1.000000000000e+01
4.035808000000e+03,1.000000000000e+01
4.140959000000e+03,1.000000000000e+01
4.265550000000e+03,1.000000000000e+02
4.289258000000e+03,5.000000000000e+02
4.649119000000e+03,1.000000000000e+01
4.653448000000e+03,1.000000000000e+01
4.662790000000e+03,5.000000000000e+02
4.681651000000e+03,2.000000000000e+02
4.706802000000e+03,1.000000000000e+02
4.990786000000e+03,2.000000000000e+01
5.000210000000e+03,1.000000000000e+01
5.402620000000e+03,1.000000000000e+02
5.424700000000e+03,1.000000000000e+02
5.598130000000e+03,1.000000000000e+02
6.054640000000e+03,1.000000000000e+03
6.405110000000e+03,1.000000000000e+02
6.544160000000e+03,5.000000000000e+01
6.955580000000e+03,5.000000000000e+01
