wavelength,amplitude
4.872272000000e+02,1.000000000000e+01
4.906495000000e+02,1.500000000000e+01
4.907013000000e+02,1.000000000000e+01
5.193270000000e+02,1.000000000000e+01
5.429124000000e+02,1.000000000000e+01
5.432033000000e+02,7.000000000000e+01
5.474606000000e+02,2.500000000000e+01
5.568170000000e+02,2.500000000000e+01
5.733619000000e+02,2.500000000000e+01
5.767364000000e+02,1.000000000000e+01
5.802632000000e+02,2.500000000000e+01
5.834371000000e+02,1.000000000000e+01
5.977001000000e+02,2.500000000000e+01
6.028584000000e+02,1.000000000000e+01
6.123716000000e+02,1.000000000000e+01
6.618690000000e+02,1.500000000000e+02
6.645623000000e+02,1.000000000000e+01
6.660109000000e+02,7.000000000000e+01
6.709455000000e+02,3.000000000000e+02
6.718513000000e+02,1.000000000000e+03
6.762425000000e+02,2.500000000000e+01
6.779518000000e+02,1.000000000000e+01
6.792184000000e+02,1.000000000000e+01
6.794006000000e+02,7.000000000000e+01
7.180899000000e+02,7.000000000000e+01
7.233606000000e+02,1.000000000000e+03
7.255485000000e+02,1.500000000000e+02
7.309297000000e+02,2.500000000000e+01
7.402692000000e+02,7.000000000000e+01
7.449248000000e+02,7.000000000000e+01
7.453223000000e+02,2.500000000000e+01
9.197810000000e+02,3.000000000000e+02
9.320537000000e+02,3.000000000000e+02
2.420456000000e+03,2.000000000000e+00
2.516789000000e+03,3.000000000000e+00
2.534709000000e+03,3.000000000000e+00
2.562087000000e+03,5.000000000000e+00
2.891612000000e+03,8.000000000000e+00
2.942893000000e+03,7.000000000000e+01
2.979050000000e+03,3.000000000000e+01
3.033508000000e+03,1.500000000000e+01
3.093402000000e+03,1.500000000000e+01
3.243689000000e+03,7.000000000000e+00
3.293640000000e+03,8.000000000000e+00
3.307228000000e+03,7.000000000000e+00
3.350924000000e+03,8.000000000000e+00
3.376436000000e+03,8.000000000000e+00
3.388531000000e+03,8.000000000000e+00
3.476747000000e+03,2.500000000000e+01
3.478232000000e+03,7.000000000000e+00
3.491244000000e+03,1.500000000000e+01
3.491536000000e+03,3.000000000000e+01
3.509778000000e+03,2.500000000000e+01
3.514388000000e+03,2.500000000000e+01
3.545596000000e+03,2.500000000000e+01
3.545845000000e+03,2.500000000000e+01
3.559508000000e+03,3.000000000000e+01
3.561030000000e+03,3.000000000000e+01
3.576616000000e+03,2.500000000000e+01
3.581608000000e+03,8.000000000000e+00
3.582355000000e+03,1.500000000000e+01
3.588441000000e+03,2.500000000000e+01
3.622138000000e+03,8.000000000000e+00
3.639833000000e+03,7.000000000000e+00
3.718206000000e+03,1.200000000000e+01
3.729309000000e+03,2.500000000000e+01
3.737889000000e+03,1.500000000000e+01
3.765270000000e+03,5.000000000000e+01
3.766119000000e+03,1.500000000000e+01
3.770520000000e+03,7.000000000000e+00
3.780840000000e+03,8.000000000000e+00
3.803172000000e+03,8.000000000000e+00
3.809456000000e+03,1.500000000000e+01
3.850581000000e+03,2.500000000000e+01
3.868528000000e+03,1.200000000000e+01
3.925719000000e+03,1.200000000000e+01
3.928623000000e+03,1.500000000000e+01
3.932547000000e+03,8.000000000000e+00
3.946097000000e+03,2.500000000000e+01
3.979356000000e+03,7.000000000000e+00
3.994792000000e+03,1.200000000000e+01
4.013857000000e+03,1.500000000000e+01
4.033809000000e+03,1.500000000000e+01
4.035460000000e+03,7.000000000000e+00
4.042894000000e+03,5.000000000000e+01
4.052921000000e+03,3.000000000000e+01
4.072005000000e+03,7.000000000000e+01
4.072385000000e+03,2.500000000000e+01
4.076628000000e+03,8.000000000000e+00
4.079574000000e+03,1.200000000000e+01
4.082387000000e+03,8.000000000000e+00
4.103912000000e+03,5.000000000000e+01
4.131724000000e+03,1.000000000000e+02
4.156086000000e+03,1.200000000000e+01
4.179297000000e+03,1.200000000000e+01
4.218665000000e+03,8.000000000000e+00
4.222637000000e+03,8.000000000000e+00
4.226988000000e+03,8.000000000000e+00
