percent,R,G,B
0.000000,181,0,181
2.000000,147,0,156
4.000000,148,0,167
6.000000,176,0,213
8.000000,165,0,213
10.000000,131,0,183
12.000000,155,0,237
14.000000,152,0,255
16.000000,127,0,235
18.000000,86,0,215
20.000000,4,0,250
22.000000,0,81,223
24.000000,0,190,253
26.000000,0,190,234
28.000000,0,188,214
30.000000,0,178,74
32.000000,0,154,43
34.000000,0,162,24
36.000000,0,76,1
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,43,27,0
58.000000,155,88,0
60.000000,146,73,0
62.000000,67,31,0
64.000000,0,0,0
66.000000,62,25,0
68.000000,67,25,0
70.000000,114,39,0
72.000000,143,45,0
74.000000,20,5,0
76.000000,73,18,0
78.000000,42,9,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,40,2,0
90.000000,74,2,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
