wavelength,amplitude
8.028589600000e+02,2.000000000000e+01
8.064710000000e+02,1.000000000000e+02
8.068688700000e+02,6.000000000000e+01
8.072184200000e+02,3.000000000000e+01
8.076529000000e+02,4.000000000000e+01
8.099266000000e+02,5.000000000000e+01
8.162319300000e+02,1.200000000000e+02
8.164639100000e+02,7.000000000000e+01
8.201235200000e+02,8.000000000000e+01
8.253459200000e+02,1.200000000000e+02
8.263648400000e+02,1.200000000000e+02
8.343918000000e+02,1.500000000000e+02
8.350021000000e+02,1.000000000000e+02
8.428050600000e+02,1.000000000000e+02
8.667999700000e+02,1.800000000000e+02
8.697541100000e+02,1.500000000000e+02
8.760576700000e+02,1.800000000000e+02
8.799465600000e+02,1.800000000000e+02
8.943101300000e+02,1.500000000000e+02
1.048219870000e+03,1.000000000000e+03
1.066659800000e+03,5.000000000000e+02
3.770369000000e+03,1.000000000000e+00
3.948979000000e+03,1.000000000000e+00
4.044418000000e+03,1.000000000000e+00
4.158590000000e+03,1.100000000000e+01
4.164180000000e+03,1.000000000000e+00
4.181884000000e+03,1.000000000000e+00
4.190713000000e+03,3.000000000000e+00
4.191029000000e+03,1.000000000000e+00
4.198317000000e+03,6.000000000000e+00
4.200674000000e+03,1.100000000000e+01
4.251185000000e+03,1.000000000000e+00
4.259362000000e+03,6.000000000000e+00
4.266286000000e+03,3.000000000000e+00
4.272169000000e+03,4.000000000000e+00
4.300101000000e+03,3.000000000000e+00
4.333561000000e+03,3.000000000000e+00
4.335338000000e+03,1.000000000000e+00
4.345168000000e+03,1.000000000000e+00
4.510733000000e+03,3.000000000000e+00
4.522323000000e+03,1.000000000000e+00
5.187746000000e+03,1.000000000000e+00
5.495874000000e+03,1.000000000000e+00
5.558702000000e+03,1.000000000000e+00
5.606733000000e+03,1.000000000000e+00
5.650704000000e+03,1.000000000000e+00
5.888584000000e+03,1.000000000000e+00
5.912085000000e+03,1.000000000000e+00
6.032127000000e+03,2.000000000000e+00
6.043223000000e+03,1.000000000000e+00
6.059372000000e+03,1.000000000000e+00
6.384717000000e+03,1.000000000000e+00
6.416307000000e+03,2.000000000000e+00
6.677282000000e+03,3.000000000000e+00
6.752834000000e+03,4.000000000000e+00
6.871289000000e+03,4.000000000000e+00
6.937664000000e+03,1.000000000000e+00
6.965431000000e+03,3.000000000000e+02
7.030251000000e+03,4.000000000000e+00
7.067218000000e+03,3.000000000000e+02
7.068736000000e+03,3.000000000000e+00
7.107478000000e+03,1.000000000000e+00
7.125820000000e+03,1.000000000000e+00
7.147042000000e+03,3.000000000000e+01
7.206980000000e+03,2.000000000000e+00
7.272936000000e+03,6.000000000000e+01
7.311716000000e+03,1.000000000000e+00
7.316005000000e+03,1.000000000000e+00
7.353293000000e+03,2.000000000000e+00
7.372118000000e+03,6.000000000000e+00
7.383980000000e+03,3.000000000000e+02
7.392980000000e+03,1.000000000000e+00
7.435368000000e+03,1.000000000000e+00
7.503869000000e+03,6.000000000000e+02
7.514652000000e+03,4.000000000000e+02
7.635106000000e+03,7.000000000000e+02
7.723761000000e+03,4.000000000000e+02
7.724207000000e+03,3.000000000000e+02
7.948176000000e+03,6.000000000000e+02
8.006157000000e+03,6.000000000000e+02
8.014786000000e+03,7.000000000000e+02
8.103693000000e+03,6.000000000000e+02
8.115311000000e+03,1.000000000000e+03
8.264522000000e+03,3.000000000000e+02
8.392270000000e+03,1.000000000000e+00
8.408210000000e+03,4.000000000000e+02
8.424648000000e+03,6.000000000000e+02
8.521442000000e+03,4.000000000000e+02
8.667944000000e+03,1.300000000000e+02
8.849910000000e+03,5.000000000000e+00
9.075394000000e+03,1.000000000000e+00
9.122967000000e+03,1.000000000000e+03
9.194638000000e+03,1.500000000000e+01
9.224499000000e+03,4.000000000000e+02
9.291531000000e+03,1.100000000000e+01
9.354220000000e+03,5.000000000000e+01
9.657786000000e+03,7.000000000000e+02
9.784503000000e+03,1.300000000000e+02
1.005206000000e+04,5.000000000000e+00
1.033272000000e+04,1.000000000000e+00
1.047005400000e+04,5.000000000000e+01
1.050650000000e+04,5.000000000000e+00
1.067356500000e+04,6.000000000000e+00
1.073387000000e+04,1.000000000000e+00
1.075916000000e+04,1.000000000000e+00
1.110646000000e+04,1.000000000000e+00
1.148810900000e+04,1.100000000000e+01
1.166871000000e+04,6.000000000000e+00
1.211232600000e+04,6.000000000000e+00
1.213973800000e+04,1.000000000000e+00
1.234339300000e+04,1.000000000000e+00
1.240282700000e+04,6.000000000000e+00
1.243932100000e+04,6.000000000000e+00
1.245612000000e+04,3.000000000000e+00
1.248766300000e+04,6.000000000000e+00
1.270228100000e+04,4.000000000000e+00
1.273341800000e+04,1.000000000000e+00
1.280273900000e+04,6.000000000000e+00
1.293319500000e+04,1.000000000000e+00
1.295665900000e+04,1.400000000000e+01
1.300826400000e+04,6.000000000000e+00
1.321399000000e+04,6.000000000000e+00
1.322810700000e+04,6.000000000000e+00
1.323090000000e+04,3.000000000000e+00
1.327264000000e+04,1.400000000000e+01
1.331321000000e+04,3.000000000000e+01
1.336711100000e+04,3.000000000000e+01
1.349941000000e+04,1.000000000000e+00
1.350419100000e+04,3.000000000000e+01
1.359933300000e+04,1.000000000000e+00
1.362265900000e+04,1.100000000000e+01
1.367855000000e+04,6.000000000000e+00
1.371857700000e+04,3.000000000000e+01
1.409364000000e+04,6.000000000000e+00
1.504650000000e+04,3.000000000000e+00
1.517269000000e+04,1.000000000000e+00
1.598949000000e+04,1.000000000000e+00
1.651986000000e+04,1.000000000000e+00
1.694058000000e+04,1.400000000000e+01
2.061623000000e+04,1.000000000000e+00
2.098611000000e+04,1.000000000000e+00
2.313320000000e+04,1.000000000000e+00
2.396652000000e+04,1.000000000000e+00
