percent,R,G,B
0.000000,19,0,19
2.000000,4,0,5
4.000000,21,0,24
6.000000,21,0,26
8.000000,62,0,81
10.000000,95,0,134
12.000000,71,0,108
14.000000,39,0,65
16.000000,6,0,11
18.000000,24,0,60
20.000000,0,0,1
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,19,2
36.000000,0,11,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,8,23,0
44.000000,19,37,0
46.000000,22,35,0
48.000000,3,4,0
50.000000,0,0,0
52.000000,35,28,0
54.000000,20,14,0
56.000000,59,37,0
58.000000,9,5,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,32,14,0
66.000000,39,15,0
68.000000,0,0,0
70.000000,3,1,0
72.000000,56,17,0
74.000000,60,17,0
76.000000,48,12,0
78.000000,191,42,0
80.000000,211,40,0
82.000000,218,35,0
84.000000,130,17,0
86.000000,142,14,0
88.000000,176,12,0
90.000000,216,8,0
92.000000,253,1,0
94.000000,234,5,0
96.000000,254,13,0
98.000000,255,21,0
100.000000,140,16,0
