wavelength,amplitude
1.211170000000e+03,8.000000000000e+02
1.218100000000e+03,8.000000000000e+02
1.241310000000e+03,8.000000000000e+02
1.243080000000e+03,1.000000000000e+03
1.245670000000e+03,9.000000000000e+02
1.258580000000e+03,8.000000000000e+02
1.263770000000e+03,1.000000000000e+03
1.266340000000e+03,8.000000000000e+02
1.267590000000e+03,8.000000000000e+02
1.280990000000e+03,7.000000000000e+02
1.287540000000e+03,7.000000000000e+02
1.305700000000e+03,7.000000000000e+02
1.333150000000e+03,8.000000000000e+02
1.341550000000e+03,1.000000000000e+03
1.355930000000e+03,8.000000000000e+02
1.369770000000e+03,1.000000000000e+03
1.373650000000e+03,8.000000000000e+02
1.375070000000e+03,1.000000000000e+03
1.375780000000e+03,8.000000000000e+02
1.394640000000e+03,8.000000000000e+02
1.400310000000e+03,8.000000000000e+02
4.190082000000e+03,7.000000000000e+02
4.458469000000e+03,7.000000000000e+02
4.466348000000e+03,7.000000000000e+02
4.494230000000e+03,8.000000000000e+02
4.507659000000e+03,8.000000000000e+02
4.543483000000e+03,7.000000000000e+02
6.170270000000e+03,5.000000000000e+02
