percent,R,G,B
0.000000,130,0,130
2.000000,211,0,224
4.000000,151,0,170
6.000000,211,0,255
8.000000,134,0,174
10.000000,0,0,0
12.000000,95,0,144
14.000000,80,0,134
16.000000,96,0,177
18.000000,64,0,160
20.000000,4,0,248
22.000000,0,45,124
24.000000,0,148,198
26.000000,0,144,177
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,80,12
36.000000,0,181,3
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,154,154,0
52.000000,151,121,0
54.000000,186,130,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,44,22,0
62.000000,226,106,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,95,35,0
70.000000,101,35,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,200,1,0
94.000000,174,4,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
