wavelength,amplitude
6.939470000000e+02,1.800000000000e+02
8.825430000000e+02,5.000000000000e+02
8.826810000000e+02,5.000000000000e+02
1.081875000000e+03,5.000000000000e+02
1.082073000000e+03,5.000000000000e+02
1.230160000000e+03,5.000000000000e+02
1.362463000000e+03,1.000000000000e+03
1.623597000000e+03,7.000000000000e+02
1.623790000000e+03,5.000000000000e+02
1.624023000000e+03,1.000000000000e+03
1.624175000000e+03,3.000000000000e+02
1.624376000000e+03,7.000000000000e+02
1.842820000000e+03,5.000000000000e+02
2.395048000000e+03,2.000000000000e+02
2.918076000000e+03,7.000000000000e+02
3.451303000000e+03,5.000000000000e+02
4.121933000000e+03,3.000000000000e+02
4.194792000000e+03,1.100000000000e+02
4.472101000000e+03,1.100000000000e+02
4.472851000000e+03,1.100000000000e+02
4.940376000000e+03,1.100000000000e+02
6.080440000000e+03,1.100000000000e+02
