wavelength,amplitude
1.143039000000e+03,2.000000000000e+02
1.197188000000e+03,4.000000000000e+02
1.512269000000e+03,6.000000000000e+02
1.512412000000e+03,8.000000000000e+02
3.130421900000e+03,1.000000000000e+03
3.131066700000e+03,6.000000000000e+02
4.360663000000e+03,6.000000000000e+01
4.360988000000e+03,1.000000000000e+02
4.673329000000e+03,1.400000000000e+02
4.673423000000e+03,2.000000000000e+02
4.828159000000e+03,4.000000000000e+01
5.270280000000e+03,6.000000000000e+01
5.270810000000e+03,1.000000000000e+02
6.547890000000e+03,1.200000000000e+01
6.558360000000e+03,1.200000000000e+01
1.011992000000e+04,1.200000000000e+01
1.209536000000e+04,2.000000000000e+01
