wavelength,amplitude
1.241045000000e+03,4.000000000000e+02
1.283715000000e+03,3.000000000000e+02
1.436810000000e+03,4.000000000000e+02
1.455091000000e+03,5.000000000000e+02
1.486954000000e+03,4.000000000000e+02
1.520549000000e+03,4.000000000000e+02
1.533139000000e+03,4.000000000000e+02
1.536745000000e+03,3.000000000000e+02
1.538037000000e+03,4.000000000000e+02
1.573690000000e+03,4.000000000000e+02
1.591760000000e+03,6.000000000000e+02
1.609690000000e+03,4.000000000000e+02
1.611358000000e+03,4.000000000000e+02
1.777050000000e+03,8.000000000000e+02
1.787406000000e+03,6.000000000000e+02
1.791842000000e+03,7.000000000000e+02
1.823728000000e+03,7.000000000000e+02
1.902341000000e+03,1.000000000000e+03
2.068937000000e+03,4.000000000000e+02
2.186930000000e+03,6.000000000000e+02
2.214031000000e+03,4.000000000000e+02
2.368384000000e+03,6.000000000000e+02
3.430605000000e+03,4.000000000000e+02
3.792564000000e+03,7.000000000000e+02
3.864025000000e+03,3.000000000000e+02
4.079072000000e+03,4.000000000000e+02
4.259413000000e+03,8.000000000000e+02
4.301697000000e+03,7.000000000000e+02
4.705285000000e+03,6.000000000000e+02
4.730267000000e+03,3.000000000000e+02
5.124356000000e+03,5.000000000000e+02
5.144492000000e+03,6.000000000000e+02
5.209325000000e+03,8.000000000000e+02
5.270512000000e+03,4.000000000000e+02
5.719138000000e+03,4.000000000000e+02
6.600339000000e+03,4.000000000000e+02
6.809196000000e+03,5.000000000000e+02
8.532000000000e+03,3.000000000000e+02
