percent,R,G,B
0.000000,238,0,238
2.000000,188,0,199
4.000000,0,0,0
6.000000,160,0,193
8.000000,148,0,192
10.000000,138,0,194
12.000000,167,0,255
14.000000,114,0,191
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,83,227
24.000000,0,162,216
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,212,60
34.000000,0,253,38
36.000000,0,240,4
38.000000,21,183,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,39,60,0
48.000000,174,217,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,217,75,0
72.000000,36,11,0
74.000000,191,54,0
76.000000,208,52,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
