wavelength,amplitude
2.748019000000e+03,1.000000000000e+03
2.827567000000e+03,1.000000000000e+03
2.872114000000e+03,1.000000000000e+03
2.878572000000e+03,1.000000000000e+03
2.884772000000e+03,1.000000000000e+03
2.889803000000e+03,1.000000000000e+03
2.893660000000e+03,1.000000000000e+03
2.910645000000e+03,1.000000000000e+03
2.926489000000e+03,1.000000000000e+03
2.927907000000e+03,1.000000000000e+03
2.941713000000e+03,1.000000000000e+03
2.951761000000e+03,1.000000000000e+03
2.969125000000e+03,1.000000000000e+03
2.987755000000e+03,1.000000000000e+03
3.178466000000e+03,1.000000000000e+03
3.247262000000e+03,1.000000000000e+03
3.263473000000e+03,1.000000000000e+03
3.387446000000e+03,1.000000000000e+03
3.412131000000e+03,1.000000000000e+03
3.461244000000e+03,1.000000000000e+03
3.464133000000e+03,1.000000000000e+03
3.472016000000e+03,1.000000000000e+03
3.477620000000e+03,1.000000000000e+03
3.542187000000e+03,1.000000000000e+03
3.567254000000e+03,1.000000000000e+03
3.603201000000e+03,1.000000000000e+03
3.621805000000e+03,1.000000000000e+03
3.640928000000e+03,1.000000000000e+03
3.681221000000e+03,1.000000000000e+03
3.711135000000e+03,1.000000000000e+03
3.771060000000e+03,1.000000000000e+03
3.823098000000e+03,1.000000000000e+03
3.824083000000e+03,1.000000000000e+03
3.825844000000e+03,1.000000000000e+03
3.831565000000e+03,1.000000000000e+03
3.835967000000e+03,1.000000000000e+03
3.859888000000e+03,1.000000000000e+03
3.877937000000e+03,1.000000000000e+03
3.894547000000e+03,1.000000000000e+03
3.906094000000e+03,1.000000000000e+03
3.916365000000e+03,1.000000000000e+03
3.928045000000e+03,1.000000000000e+03
4.147134000000e+03,1.000000000000e+03
4.189692000000e+03,1.000000000000e+03
4.197441000000e+03,1.000000000000e+03
5.135530000000e+03,1.000000000000e+03
5.512220000000e+03,1.000000000000e+03
9.862390000000e+03,1.000000000000e+03
