percent,R,G,B
0.000000,255,0,255
2.000000,223,0,237
4.000000,153,0,173
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,111,0,170
14.000000,130,0,217
16.000000,109,0,201
18.000000,64,0,159
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,141,188
26.000000,0,94,116
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,172,48
34.000000,0,211,31
36.000000,0,206,3
38.000000,20,174,0
40.000000,53,213,0
42.000000,83,217,0
44.000000,115,223,0
46.000000,136,209,0
48.000000,156,195,0
50.000000,0,0,0
52.000000,176,141,0
54.000000,163,114,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,170,32,0
82.000000,194,31,0
84.000000,160,21,0
86.000000,190,19,0
88.000000,191,13,0
90.000000,187,7,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
