percent,R,G,B
0.000000,0,0,0
2.000000,198,0,211
4.000000,210,0,237
6.000000,150,0,181
8.000000,0,0,0
10.000000,174,0,244
12.000000,139,0,212
14.000000,152,0,255
16.000000,86,0,159
18.000000,88,0,219
20.000000,3,0,187
22.000000,0,91,251
24.000000,0,180,241
26.000000,0,189,232
28.000000,0,191,218
30.000000,0,148,62
32.000000,0,0,0
34.000000,0,220,33
36.000000,0,240,4
38.000000,26,225,0
40.000000,40,161,0
42.000000,83,216,0
44.000000,98,191,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
