percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,115,0,213
18.000000,87,0,216
20.000000,1,0,99
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,211,120,0
60.000000,190,95,0
62.000000,166,78,0
64.000000,240,105,0
66.000000,0,0,0
68.000000,233,88,0
70.000000,255,88,0
72.000000,236,74,0
74.000000,122,34,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,176,33,0
82.000000,82,13,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,162,11,0
90.000000,141,5,0
92.000000,208,1,0
94.000000,195,4,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,218,25,0
