wavelength,amplitude
1.193008800000e+03,3.000000000000e+02
1.193240200000e+03,4.000000000000e+02
1.193264400000e+03,1.000000000000e+02
1.261552000000e+03,2.000000000000e+02
1.277245200000e+03,4.000000000000e+02
1.277282400000e+03,8.000000000000e+02
1.277513100000e+03,2.000000000000e+02
1.277549700000e+03,1.000000000000e+03
1.280333000000e+03,8.000000000000e+02
1.329577500000e+03,2.000000000000e+02
1.329600500000e+03,1.000000000000e+02
1.560309000000e+03,2.000000000000e+02
1.560682000000e+03,5.000000000000e+02
1.560709000000e+03,2.000000000000e+02
1.561438000000e+03,6.000000000000e+02
1.656267000000e+03,5.000000000000e+02
1.656928000000e+03,4.000000000000e+02
1.657008000000e+03,1.000000000000e+03
1.657379000000e+03,4.000000000000e+02
1.657907000000e+03,4.000000000000e+02
1.658121000000e+03,5.000000000000e+02
1.751827000000e+03,5.000000000000e+02
1.930906000000e+03,1.000000000000e+03
2.478561000000e+03,4.000000000000e+02
5.380340000000e+03,1.500000000000e+02
6.013220000000e+03,1.500000000000e+02
8.335150000000e+03,2.500000000000e+02
9.094830000000e+03,2.200000000000e+02
9.111800000000e+03,1.500000000000e+02
9.405730000000e+03,4.000000000000e+02
9.658440000000e+03,1.500000000000e+02
1.069125000000e+04,1.500000000000e+02
1.174822000000e+04,9.000000000000e+01
1.175332000000e+04,1.400000000000e+02
1.175476000000e+04,1.100000000000e+02
1.689038000000e+04,5.000000000000e+01
