wavelength,amplitude
2.275462000000e+03,1.200000000000e+02
2.721645000000e+03,1.400000000000e+02
4.226727000000e+03,1.000000000000e+03
4.302527000000e+03,5.000000000000e+02
4.307741000000e+03,5.000000000000e+02
4.425441000000e+03,5.000000000000e+02
4.434960000000e+03,5.000000000000e+02
4.435688000000e+03,5.000000000000e+02
4.454781000000e+03,6.000000000000e+02
4.455887000000e+03,6.000000000000e+02
4.456605000000e+03,4.000000000000e+02
4.878132000000e+03,5.000000000000e+02
5.188848000000e+03,5.000000000000e+02
5.265557000000e+03,5.000000000000e+02
5.270270000000e+03,5.000000000000e+02
5.349472000000e+03,5.000000000000e+02
5.581971000000e+03,5.000000000000e+02
5.588757000000e+03,5.000000000000e+02
5.590120000000e+03,5.000000000000e+02
5.594468000000e+03,5.000000000000e+02
5.598487000000e+03,5.000000000000e+02
5.857452000000e+03,6.000000000000e+02
6.102722000000e+03,5.000000000000e+02
6.122219000000e+03,6.000000000000e+02
6.162172000000e+03,6.000000000000e+02
6.169055000000e+03,5.000000000000e+02
6.169559000000e+03,6.000000000000e+02
6.439073000000e+03,7.000000000000e+02
6.449810000000e+03,6.000000000000e+02
6.462566000000e+03,7.000000000000e+02
6.471660000000e+03,6.000000000000e+02
6.493780000000e+03,6.000000000000e+02
6.499649000000e+03,6.000000000000e+02
6.572777000000e+03,5.000000000000e+02
6.717685000000e+03,6.000000000000e+02
7.148147000000e+03,7.000000000000e+02
7.202194000000e+03,6.000000000000e+02
7.326146000000e+03,7.000000000000e+02
9.416967000000e+03,5.000000000000e+02
1.281604000000e+04,5.000000000000e+02
1.290910000000e+04,5.000000000000e+02
1.303357000000e+04,6.000000000000e+02
1.904614000000e+04,6.000000000000e+02
1.930920000000e+04,1.000000000000e+03
1.945299000000e+04,1.000000000000e+03
1.950572000000e+04,9.000000000000e+02
1.977679000000e+04,1.000000000000e+03
1.985310000000e+04,7.000000000000e+02
1.986222000000e+04,7.000000000000e+02
2.262493000000e+04,5.000000000000e+02
2.265123000000e+04,6.000000000000e+02
