percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,150,0,210
12.000000,147,0,224
14.000000,119,0,198
16.000000,138,0,255
18.000000,75,0,186
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,146,180
28.000000,0,155,177
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,186,28
36.000000,0,217,3
38.000000,24,210,0
40.000000,42,169,0
42.000000,0,0,0
44.000000,122,237,0
46.000000,144,222,0
48.000000,0,0,0
50.000000,166,166,0
52.000000,196,157,0
54.000000,0,0,0
56.000000,151,96,0
58.000000,240,136,0
60.000000,223,111,0
62.000000,0,0,0
64.000000,71,31,0
66.000000,252,102,0
68.000000,237,89,0
70.000000,187,65,0
72.000000,186,58,0
74.000000,182,52,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,150,24,0
84.000000,219,28,0
86.000000,186,18,0
88.000000,209,14,0
90.000000,129,4,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
