percent,R,G,B
0.000000,233,0,233
2.000000,230,0,244
4.000000,225,0,255
6.000000,209,0,252
8.000000,192,0,249
10.000000,174,0,244
12.000000,151,0,229
14.000000,133,0,222
16.000000,125,0,231
18.000000,92,0,229
20.000000,4,0,215
22.000000,0,56,155
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,129,19
36.000000,0,137,2
38.000000,13,113,0
40.000000,0,0,0
42.000000,43,113,0
44.000000,52,101,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,102,64,0
58.000000,24,13,0
60.000000,25,12,0
62.000000,76,35,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,35,6,0
82.000000,86,14,0
84.000000,17,2,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
