wavelength,amplitude
4.005232000000e+03,2.500000000000e+02
4.055836000000e+03,3.000000000000e+02
4.506413000000e+03,2.500000000000e+02
4.632320000000e+03,5.000000000000e+02
4.650509000000e+03,3.000000000000e+02
4.822547000000e+03,3.000000000000e+02
4.847774000000e+03,4.000000000000e+02
4.943440000000e+03,3.000000000000e+02
4.994627000000e+03,4.000000000000e+02
5.009098000000e+03,6.000000000000e+02
5.040846000000e+03,3.000000000000e+02
5.071775000000e+03,3.000000000000e+02
5.112703000000e+03,4.000000000000e+02
5.129569000000e+03,5.000000000000e+02
5.149993000000e+03,2.500000000000e+02
5.159686000000e+03,8.000000000000e+02
5.161484000000e+03,8.000000000000e+02
5.174554000000e+03,5.000000000000e+02
5.211877000000e+03,5.000000000000e+02
5.223461000000e+03,7.000000000000e+02
5.229745000000e+03,5.000000000000e+02
5.245916000000e+03,7.000000000000e+02
5.296563000000e+03,4.000000000000e+02
5.328082000000e+03,4.000000000000e+02
5.397638000000e+03,4.000000000000e+02
5.420380000000e+03,3.000000000000e+02
5.449239000000e+03,4.000000000000e+02
5.556252000000e+03,3.000000000000e+02
5.564966000000e+03,5.000000000000e+02
5.565965000000e+03,4.000000000000e+02
5.595875000000e+03,2.500000000000e+02
5.601280000000e+03,6.000000000000e+02
5.655140000000e+03,5.000000000000e+02
5.669959000000e+03,6.000000000000e+02
5.677752000000e+03,3.000000000000e+02
5.692943000000e+03,3.000000000000e+02
5.696993000000e+03,8.000000000000e+02
5.699226000000e+03,1.000000000000e+03
5.719031000000e+03,6.000000000000e+02
5.773122000000e+03,4.000000000000e+02
5.788143000000e+03,3.000000000000e+02
5.812919000000e+03,3.000000000000e+02
5.862491000000e+03,2.500000000000e+02
5.926301000000e+03,1.500000000000e+02
5.928342000000e+03,2.000000000000e+02
5.937720000000e+03,2.500000000000e+02
5.940857000000e+03,6.000000000000e+02
6.001901000000e+03,1.500000000000e+02
6.005861000000e+03,1.500000000000e+02
6.006817000000e+03,1.500000000000e+02
6.013419000000e+03,2.000000000000e+02
6.024193000000e+03,3.000000000000e+02
6.047397000000e+03,1.500000000000e+02
6.057995000000e+03,9.000000000000e+01
6.069484000000e+03,9.000000000000e+01
6.072006000000e+03,9.000000000000e+01
6.093192000000e+03,9.000000000000e+01
6.123673000000e+03,1.200000000000e+02
6.186173000000e+03,9.000000000000e+01
6.208985000000e+03,9.000000000000e+01
6.228936000000e+03,9.000000000000e+01
6.295574000000e+03,9.000000000000e+01
6.310013000000e+03,9.000000000000e+01
6.430067000000e+03,9.000000000000e+01
6.458031000000e+03,9.000000000000e+01
6.555645000000e+03,8.000000000000e+01
6.704272000000e+03,9.000000000000e+01
6.924813000000e+03,8.000000000000e+01
6.986015000000e+03,8.000000000000e+01
7.252710000000e+03,9.000000000000e+01
7.397764000000e+03,9.000000000000e+01
8.120367000000e+03,6.000000000000e+01
8.495829000000e+03,5.000000000000e+01
