percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,132,0,149
6.000000,156,0,188
8.000000,100,0,130
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,65,0,119
18.000000,68,0,169
20.000000,3,0,191
22.000000,0,69,189
24.000000,0,99,133
26.000000,0,165,202
28.000000,0,156,178
30.000000,0,224,93
32.000000,0,217,61
34.000000,0,255,38
36.000000,0,244,4
38.000000,24,208,0
40.000000,53,212,0
42.000000,70,184,0
44.000000,120,233,0
46.000000,157,241,0
48.000000,201,251,0
50.000000,213,213,0
52.000000,203,162,0
54.000000,224,157,0
56.000000,218,138,0
58.000000,180,102,0
60.000000,171,85,0
62.000000,163,76,0
64.000000,131,57,0
66.000000,159,64,0
68.000000,132,50,0
70.000000,114,39,0
72.000000,131,41,0
74.000000,106,30,0
76.000000,0,0,0
78.000000,142,31,0
80.000000,135,26,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,137,13,0
88.000000,91,6,0
90.000000,142,5,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
