wavelength,amplitude
2.739310000000e+03,1.000000000000e+03
2.759100000000e+03,1.000000000000e+03
2.774520000000e+03,1.000000000000e+03
2.852030000000e+03,1.000000000000e+03
2.855240000000e+03,1.000000000000e+03
3.367790000000e+03,1.000000000000e+03
3.513470000000e+03,1.000000000000e+03
3.626760000000e+03,1.000000000000e+03
3.699490000000e+03,1.000000000000e+03
3.722110000000e+03,1.000000000000e+03
3.789040000000e+03,1.000000000000e+03
3.893230000000e+03,1.000000000000e+03
3.993570000000e+03,1.000000000000e+03
6.927100000000e+03,1.000000000000e+03
8.241770000000e+03,1.000000000000e+03
8.333850000000e+03,1.000000000000e+03
8.423490000000e+03,1.000000000000e+03
8.568830000000e+03,1.000000000000e+03
1.218305000000e+04,1.000000000000e+03
1.332998000000e+04,1.000000000000e+03
1.337689000000e+04,1.000000000000e+03
1.477249000000e+04,1.000000000000e+03
1.558712000000e+04,1.000000000000e+03
1.675906000000e+04,1.000000000000e+03
