wavelength,amplitude
3.298140000000e+03,1.000000000000e+03
3.352710000000e+03,1.000000000000e+03
3.392220000000e+03,1.000000000000e+03
3.481070000000e+03,1.000000000000e+03
3.531490000000e+03,1.000000000000e+03
3.540980000000e+03,1.000000000000e+03
3.598770000000e+03,1.000000000000e+03
3.605320000000e+03,1.000000000000e+03
3.612110000000e+03,1.000000000000e+03
3.617490000000e+03,1.000000000000e+03
3.659460000000e+03,1.000000000000e+03
3.662700000000e+03,1.000000000000e+03
3.739350000000e+03,1.000000000000e+03
3.785610000000e+03,1.000000000000e+03
4.035450000000e+03,1.000000000000e+03
4.099120000000e+03,1.000000000000e+03
4.242380000000e+03,1.000000000000e+03
4.329030000000e+03,1.000000000000e+03
4.335220000000e+03,1.000000000000e+03
5.173960000000e+03,1.000000000000e+03
5.179080000000e+03,1.000000000000e+03
5.219240000000e+03,1.000000000000e+03
5.279010000000e+03,1.000000000000e+03
5.320090000000e+03,1.000000000000e+03
5.339130000000e+03,1.000000000000e+03
5.408880000000e+03,1.000000000000e+03
5.726050000000e+03,1.000000000000e+03
6.622830000000e+03,1.000000000000e+03
6.631260000000e+03,1.000000000000e+03
6.677900000000e+03,1.000000000000e+03
6.894590000000e+03,1.000000000000e+03
7.074520000000e+03,1.000000000000e+03
7.307900000000e+03,1.000000000000e+03
8.141290000000e+03,1.000000000000e+03
9.228520000000e+03,1.000000000000e+03
9.337700000000e+03,1.000000000000e+03
9.649510000000e+03,1.000000000000e+03
1.030841000000e+04,1.000000000000e+03
1.056883000000e+04,1.000000000000e+03
1.061484000000e+04,1.000000000000e+03
1.130019000000e+04,1.000000000000e+03
1.168185000000e+04,1.000000000000e+03
1.194133000000e+04,1.000000000000e+03
1.235272000000e+04,1.000000000000e+03
1.243748000000e+04,1.000000000000e+03
1.278741000000e+04,1.000000000000e+03
1.336298000000e+04,1.000000000000e+03
1.347444000000e+04,1.000000000000e+03
1.528132000000e+04,1.000000000000e+03
1.567592000000e+04,1.000000000000e+03
1.762625000000e+04,1.000000000000e+03
1.871869000000e+04,1.000000000000e+03
1.906871000000e+04,1.000000000000e+03
1.933696000000e+04,1.000000000000e+03
1.957684000000e+04,1.000000000000e+03
2.039338000000e+04,1.000000000000e+03
2.086998000000e+04,1.000000000000e+03
