percent,R,G,B
0.000000,230,0,230
2.000000,0,0,0
4.000000,118,0,134
6.000000,194,0,234
8.000000,168,0,218
10.000000,145,0,203
12.000000,154,0,235
14.000000,142,0,237
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,248,37
36.000000,0,245,4
38.000000,29,255,0
40.000000,58,232,0
42.000000,59,155,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,180,225,0
50.000000,143,143,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,238,82,0
72.000000,244,77,0
74.000000,0,0,0
76.000000,190,48,0
78.000000,215,48,0
80.000000,140,26,0
82.000000,225,36,0
84.000000,0,0,0
86.000000,166,16,0
88.000000,222,15,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
