percent,R,G,B
0.000000,184,0,184
2.000000,201,0,213
4.000000,0,0,0
6.000000,0,0,0
8.000000,120,0,156
10.000000,66,0,92
12.000000,0,0,0
14.000000,77,0,129
16.000000,37,0,69
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,184,245
26.000000,0,206,253
28.000000,0,223,254
30.000000,0,162,67
32.000000,0,195,55
34.000000,0,187,28
36.000000,0,228,3
38.000000,10,86,0
40.000000,63,255,0
42.000000,86,226,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
