wavelength,amplitude
2.462764000000e+03,1.000000000000e+03
2.617169000000e+03,1.000000000000e+03
2.636281000000e+03,1.000000000000e+03
2.651171000000e+03,1.000000000000e+03
2.653804000000e+03,1.000000000000e+03
2.725682000000e+03,1.000000000000e+03
2.736892000000e+03,1.000000000000e+03
2.748039000000e+03,1.000000000000e+03
2.784826000000e+03,1.000000000000e+03
2.811618000000e+03,1.000000000000e+03
2.824204000000e+03,1.000000000000e+03
2.833580000000e+03,1.000000000000e+03
2.899904000000e+03,1.000000000000e+03
2.912965000000e+03,1.000000000000e+03
2.928922000000e+03,1.000000000000e+03
2.996180000000e+03,1.000000000000e+03
3.014867000000e+03,1.000000000000e+03
3.044848000000e+03,1.000000000000e+03
3.169983000000e+03,1.000000000000e+03
3.207121000000e+03,1.000000000000e+03
3.209892000000e+03,1.000000000000e+03
3.210050000000e+03,1.000000000000e+03
3.220759000000e+03,1.000000000000e+03
3.226412000000e+03,1.000000000000e+03
3.230349000000e+03,1.000000000000e+03
3.238548000000e+03,1.000000000000e+03
3.242657000000e+03,1.000000000000e+03
3.296708000000e+03,1.000000000000e+03
3.572949000000e+03,1.000000000000e+03
3.904064000000e+03,1.000000000000e+03
3.908238000000e+03,1.000000000000e+03
4.207660000000e+03,1.000000000000e+03
