percent,R,G,B
0.000000,252,0,252
2.000000,233,0,248
4.000000,225,0,255
6.000000,200,0,241
8.000000,171,0,222
10.000000,146,0,205
12.000000,148,0,226
14.000000,129,0,215
16.000000,117,0,216
18.000000,68,0,169
20.000000,3,0,198
22.000000,0,49,136
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,176,176,0
52.000000,190,152,0
54.000000,198,139,0
56.000000,193,122,0
58.000000,159,90,0
60.000000,178,89,0
62.000000,183,86,0
64.000000,194,85,0
66.000000,156,63,0
68.000000,185,69,0
70.000000,199,69,0
72.000000,228,72,0
74.000000,215,61,0
76.000000,176,44,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,200,26,0
86.000000,103,10,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,201,17,0
100.000000,56,6,0
