wavelength,amplitude
1.970769000000e+03,1.400000000000e+02
2.309010000000e+03,1.200000000000e+02
2.323145000000e+03,1.100000000000e+02
2.353368000000e+03,9.000000000000e+01
2.407256000000e+03,2.500000000000e+02
2.411624000000e+03,2.500000000000e+02
2.414464000000e+03,2.500000000000e+02
2.415290000000e+03,2.500000000000e+02
2.424935000000e+03,2.000000000000e+02
2.432213000000e+03,1.500000000000e+02
2.436662000000e+03,1.400000000000e+02
2.439040000000e+03,1.100000000000e+02
2.521365000000e+03,2.000000000000e+02
2.528970000000e+03,1.400000000000e+02
2.535966000000e+03,1.400000000000e+02
3.044005000000e+03,1.500000000000e+02
3.395373000000e+03,1.000000000000e+02
3.405118000000e+03,5.000000000000e+02
3.409176000000e+03,2.000000000000e+02
3.412337000000e+03,3.000000000000e+02
3.412633000000e+03,1.000000000000e+02
3.417157000000e+03,1.300000000000e+02
3.431582000000e+03,1.200000000000e+02
3.433040000000e+03,2.000000000000e+02
3.443645000000e+03,4.000000000000e+02
3.449170000000e+03,2.000000000000e+02
3.449440000000e+03,1.000000000000e+02
3.453510000000e+03,1.000000000000e+03
3.462805000000e+03,2.500000000000e+02
3.465793000000e+03,2.500000000000e+02
3.473974000000e+03,4.000000000000e+02
3.474042000000e+03,4.000000000000e+02
3.489400000000e+03,2.500000000000e+02
3.495682000000e+03,1.100000000000e+02
3.502280000000e+03,5.000000000000e+02
3.506312000000e+03,3.000000000000e+02
3.509841000000e+03,1.400000000000e+02
3.512640000000e+03,2.500000000000e+02
3.513481000000e+03,2.000000000000e+02
3.518347000000e+03,2.500000000000e+02
3.521566000000e+03,1.300000000000e+02
3.523433000000e+03,2.000000000000e+02
3.526850000000e+03,3.000000000000e+02
3.529033000000e+03,1.300000000000e+02
3.529808000000e+03,3.000000000000e+02
3.569376000000e+03,4.000000000000e+02
3.575360000000e+03,1.200000000000e+02
3.587187000000e+03,3.000000000000e+02
3.845469000000e+03,3.000000000000e+02
3.873114000000e+03,2.500000000000e+02
3.873955000000e+03,1.300000000000e+02
3.894078000000e+03,4.000000000000e+02
3.995308000000e+03,3.000000000000e+02
4.118774000000e+03,1.300000000000e+02
4.121318000000e+03,2.000000000000e+02
