wavelength,amplitude
2.383303000000e+03,6.000000000000e+00
2.408600000000e+03,7.000000000000e+00
2.496300000000e+03,8.000000000000e+00
2.504310000000e+03,1.000000000000e+01
2.519510000000e+03,2.000000000000e+01
2.549548000000e+03,8.000000000000e+00
2.560695000000e+03,6.000000000000e+00
2.571740000000e+03,8.000000000000e+00
2.591840000000e+03,2.000000000000e+01
2.726496000000e+03,2.000000000000e+01
2.731895000000e+03,1.400000000000e+01
2.736463000000e+03,8.000000000000e+00
2.757086000000e+03,8.000000000000e+00
2.769902000000e+03,1.200000000000e+01
2.780695000000e+03,3.000000000000e+01
2.886995000000e+03,8.000000000000e+00
2.889294000000e+03,4.000000000000e+01
2.893254000000e+03,2.000000000000e+01
2.894168000000e+03,1.000000000000e+01
2.896756000000e+03,1.000000000000e+01
2.905477000000e+03,9.000000000000e+00
2.909049000000e+03,1.300000000000e+01
2.910892000000e+03,1.300000000000e+01
2.911148000000e+03,1.200000000000e+01
2.967640000000e+03,2.500000000000e+01
2.971102000000e+03,2.500000000000e+01
2.975478000000e+03,2.500000000000e+01
2.980784000000e+03,2.000000000000e+01
2.985849000000e+03,2.500000000000e+01
2.986010000000e+03,8.000000000000e+01
2.986466000000e+03,1.000000000000e+02
2.988638000000e+03,3.000000000000e+01
2.991877000000e+03,2.500000000000e+01
2.994060000000e+03,1.200000000000e+01
2.995094000000e+03,1.500000000000e+01
2.996571000000e+03,4.000000000000e+01
2.998783000000e+03,1.000000000000e+01
3.000880000000e+03,6.000000000000e+01
3.005060000000e+03,4.000000000000e+01
3.013720000000e+03,4.000000000000e+01
3.014756000000e+03,4.000000000000e+01
3.014932000000e+03,7.000000000000e+01
3.015197000000e+03,4.000000000000e+01
3.017591000000e+03,1.400000000000e+02
3.018492000000e+03,2.000000000000e+01
3.018827000000e+03,1.200000000000e+01
3.020671000000e+03,2.000000000000e+01
3.021576000000e+03,1.400000000000e+02
3.024359000000e+03,6.000000000000e+01
3.029165000000e+03,8.000000000000e+00
3.030250000000e+03,4.000000000000e+01
3.031346000000e+03,7.000000000000e+00
3.034191000000e+03,2.000000000000e+01
3.037049000000e+03,3.000000000000e+01
3.040837000000e+03,3.000000000000e+01
3.053870000000e+03,4.000000000000e+01
3.257826000000e+03,6.000000000000e+00
3.433589000000e+03,1.400000000000e+01
3.436190000000e+03,8.000000000000e+00
3.441449000000e+03,7.000000000000e+00
3.445604000000e+03,8.000000000000e+00
3.447426000000e+03,8.000000000000e+00
3.453328000000e+03,1.000000000000e+01
3.455607000000e+03,6.000000000000e+00
3.573636000000e+03,6.000000000000e+00
3.574796000000e+03,1.500000000000e+01
3.578682000000e+03,1.000000000000e+03
3.593481000000e+03,8.000000000000e+02
3.601655000000e+03,2.000000000000e+01
3.605320000000e+03,6.000000000000e+02
3.632832000000e+03,6.000000000000e+00
3.636588000000e+03,2.000000000000e+01
3.639800000000e+03,3.000000000000e+01
3.641840000000e+03,1.100000000000e+01
3.648993000000e+03,1.100000000000e+01
3.653916000000e+03,8.000000000000e+00
3.656260000000e+03,1.100000000000e+01
3.663206000000e+03,6.000000000000e+00
3.686820000000e+03,6.000000000000e+00
3.687250000000e+03,6.000000000000e+00
3.730805000000e+03,6.000000000000e+00
3.732030000000e+03,8.000000000000e+00
3.743570000000e+03,2.500000000000e+01
3.743887000000e+03,3.000000000000e+01
3.749000000000e+03,1.500000000000e+01
3.757659000000e+03,1.200000000000e+01
3.768237000000e+03,1.300000000000e+01
3.791384000000e+03,6.000000000000e+00
3.792142000000e+03,6.000000000000e+00
3.793872000000e+03,6.000000000000e+00
3.797138000000e+03,7.000000000000e+00
3.797714000000e+03,1.000000000000e+01
3.804801000000e+03,2.500000000000e+01
3.815438000000e+03,9.000000000000e+00
3.819570000000e+03,9.000000000000e+00
3.826427000000e+03,6.000000000000e+00
3.841280000000e+03,2.000000000000e+01
3.848983000000e+03,1.000000000000e+01
3.849350000000e+03,7.000000000000e+00
3.850029000000e+03,1.400000000000e+01
3.852221000000e+03,7.000000000000e+00
3.854229000000e+03,1.000000000000e+01
3.855580000000e+03,7.000000000000e+00
3.857630000000e+03,1.300000000000e+01
3.883289000000e+03,3.000000000000e+01
3.885240000000e+03,3.000000000000e+01
3.886800000000e+03,2.000000000000e+01
3.894039000000e+03,1.300000000000e+01
3.902911000000e+03,2.000000000000e+01
3.908762000000e+03,5.000000000000e+01
3.916250000000e+03,1.000000000000e+01
3.919165000000e+03,9.000000000000e+01
3.921031000000e+03,3.000000000000e+01
3.928647000000e+03,3.000000000000e+01
3.941499000000e+03,2.000000000000e+01
3.963694000000e+03,9.000000000000e+01
3.969748000000e+03,8.000000000000e+01
3.976674000000e+03,8.000000000000e+01
3.983901000000e+03,5.000000000000e+01
3.984339000000e+03,1.000000000000e+01
3.989984000000e+03,8.000000000000e+00
3.991118000000e+03,5.000000000000e+01
3.991677000000e+03,8.000000000000e+00
3.992846000000e+03,1.000000000000e+01
4.001443000000e+03,8.000000000000e+00
4.039098000000e+03,1.000000000000e+01
4.048784000000e+03,8.000000000000e+00
4.126513000000e+03,7.000000000000e+00
4.163627000000e+03,7.000000000000e+00
4.174808000000e+03,8.000000000000e+00
4.179270000000e+03,8.000000000000e+00
4.254331000000e+03,1.000000000000e+03
4.274806000000e+03,8.000000000000e+02
4.289733000000e+03,5.000000000000e+02
4.337566000000e+03,4.000000000000e+01
4.339450000000e+03,6.000000000000e+01
4.339740000000e+03,2.000000000000e+01
4.344510000000e+03,9.000000000000e+01
4.351055000000e+03,2.000000000000e+01
4.351770000000e+03,1.200000000000e+02
4.359647000000e+03,3.000000000000e+01
4.371279000000e+03,2.500000000000e+01
4.384974000000e+03,2.500000000000e+01
4.496850000000e+03,3.000000000000e+01
4.526458000000e+03,2.000000000000e+01
4.530720000000e+03,2.000000000000e+01
4.535714000000e+03,1.200000000000e+01
4.540500000000e+03,1.200000000000e+01
4.540715000000e+03,1.200000000000e+01
4.544607000000e+03,7.000000000000e+00
4.545946000000e+03,3.000000000000e+01
4.580045000000e+03,2.000000000000e+01
4.591405000000e+03,2.000000000000e+01
4.600745000000e+03,2.500000000000e+01
4.613360000000e+03,1.200000000000e+01
4.616120000000e+03,3.000000000000e+01
4.626181000000e+03,3.000000000000e+01
4.646151000000e+03,8.000000000000e+01
4.651285000000e+03,3.000000000000e+01
4.652155000000e+03,4.000000000000e+01
4.698460000000e+03,1.200000000000e+01
4.708020000000e+03,1.000000000000e+01
4.718430000000e+03,1.200000000000e+01
4.737330000000e+03,7.000000000000e+00
4.756090000000e+03,1.500000000000e+01
4.789324000000e+03,1.000000000000e+01
4.870790000000e+03,7.000000000000e+00
4.887013000000e+03,6.000000000000e+00
4.922276000000e+03,1.300000000000e+01
5.204505000000e+03,2.500000000000e+02
5.206021000000e+03,4.000000000000e+02
5.208415000000e+03,6.000000000000e+02
5.247580000000e+03,1.400000000000e+01
5.264160000000e+03,2.500000000000e+01
5.265730000000e+03,9.000000000000e+00
5.296690000000e+03,1.500000000000e+01
5.298290000000e+03,3.000000000000e+01
5.328360000000e+03,1.500000000000e+01
5.345770000000e+03,4.000000000000e+01
5.348300000000e+03,2.000000000000e+01
5.409780000000e+03,7.000000000000e+01
5.791000000000e+03,9.000000000000e+00
7.400220000000e+03,6.000000000000e+00
7.462350000000e+03,8.000000000000e+00
