percent,R,G,B
0.000000,167,0,167
2.000000,178,0,189
4.000000,181,0,205
6.000000,128,0,155
8.000000,72,0,93
10.000000,143,0,201
12.000000,167,0,255
14.000000,121,0,203
16.000000,55,0,102
18.000000,64,0,160
20.000000,3,0,177
22.000000,0,60,165
24.000000,0,92,123
26.000000,0,66,82
28.000000,0,88,100
30.000000,0,10,4
32.000000,0,0,0
34.000000,0,210,31
36.000000,0,224,3
38.000000,18,154,0
40.000000,37,149,0
42.000000,29,76,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,18,23,0
50.000000,74,74,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,73,2,0
92.000000,66,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
