percent,R,G,B
0.000000,128,0,128
2.000000,113,0,120
4.000000,145,0,163
6.000000,139,0,168
8.000000,59,0,77
10.000000,111,0,155
12.000000,142,0,216
14.000000,107,0,179
16.000000,81,0,150
18.000000,84,0,210
20.000000,4,0,253
22.000000,0,54,148
24.000000,0,126,168
26.000000,0,176,217
28.000000,0,189,216
30.000000,0,212,88
32.000000,0,180,51
34.000000,0,185,27
36.000000,0,255,4
38.000000,23,197,0
40.000000,46,187,0
42.000000,0,0,0
44.000000,112,218,0
46.000000,66,101,0
48.000000,0,0,0
50.000000,193,193,0
52.000000,211,169,0
54.000000,207,145,0
56.000000,0,0,0
58.000000,165,93,0
60.000000,90,45,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,118,48,0
68.000000,180,67,0
70.000000,149,51,0
72.000000,168,53,0
74.000000,148,42,0
76.000000,0,0,0
78.000000,204,45,0
80.000000,208,40,0
82.000000,106,17,0
84.000000,173,22,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,82,9,0
