wavelength,amplitude
3.876150000000e+03,3.000000000000e+01
3.888610000000e+03,1.000000000000e+01
4.555280000000e+03,1.500000000000e+01
4.593170000000e+03,8.000000000000e+00
5.465940000000e+03,1.000000000000e+00
5.502880000000e+03,1.000000000000e+00
5.635210000000e+03,2.000000000000e+00
5.664020000000e+03,3.000000000000e+00
5.838830000000e+03,1.000000000000e+00
5.845140000000e+03,5.000000000000e+00
6.010490000000e+03,1.000000000000e+01
6.034090000000e+03,1.000000000000e+00
6.213100000000e+03,1.500000000000e+01
6.217600000000e+03,3.000000000000e+00
6.354550000000e+03,5.000000000000e+00
6.586510000000e+03,8.000000000000e+00
6.628660000000e+03,2.000000000000e+00
6.723280000000e+03,5.000000000000e+01
6.824650000000e+03,3.000000000000e+00
6.870450000000e+03,5.000000000000e+00
6.973300000000e+03,8.000000000000e+01
6.983490000000e+03,1.500000000000e+01
7.228530000000e+03,1.300000000000e+01
7.279900000000e+03,2.000000000000e+00
7.279960000000e+03,2.000000000000e+01
7.608900000000e+03,4.000000000000e+01
7.943880000000e+03,5.000000000000e+01
8.015730000000e+03,6.000000000000e+01
8.078940000000e+03,8.000000000000e+00
8.079040000000e+03,7.000000000000e+01
8.521130000000e+03,1.000000000000e+03
8.761410000000e+03,2.500000000000e+02
8.943470000000e+03,1.000000000000e+03
9.172320000000e+03,3.000000000000e+02
9.208530000000e+03,9.000000000000e+01
1.002436000000e+04,3.000000000000e+02
1.012341000000e+04,8.000000000000e+01
1.012360000000e+04,4.000000000000e+02
1.342431000000e+04,5.000000000000e+01
1.358829000000e+04,6.000000000000e+02
1.360256000000e+04,1.400000000000e+02
1.375881000000e+04,9.000000000000e+01
1.469491000000e+04,9.000000000000e+02
1.653563000000e+04,1.300000000000e+01
1.701232000000e+04,2.500000000000e+01
2.013847000000e+04,1.200000000000e+01
2.281186000000e+04,1.400000000000e+01
2.303798000000e+04,2.000000000000e+01
2.334447000000e+04,6.000000000000e+01
2.425121000000e+04,7.000000000000e+01
2.437496000000e+04,1.400000000000e+01
2.576351000000e+04,1.500000000000e+01
2.576473000000e+04,8.000000000000e+00
2.931006000000e+04,1.100000000000e+01
3.010327000000e+04,5.000000000000e+01
3.095306000000e+04,1.000000000000e+01
3.490013000000e+04,2.000000000000e+01
3.613100000000e+04,3.000000000000e+00
