percent,R,G,B
0.000000,54,0,54
2.000000,209,0,221
4.000000,39,0,44
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,56,0,140
20.000000,3,0,164
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,2,9,0
42.000000,21,56,0
44.000000,10,20,0
46.000000,63,97,0
48.000000,31,39,0
50.000000,79,79,0
52.000000,88,71,0
54.000000,94,66,0
56.000000,128,81,0
58.000000,0,0,0
60.000000,168,84,0
62.000000,90,42,0
64.000000,105,46,0
66.000000,0,0,0
68.000000,51,19,0
70.000000,133,46,0
72.000000,194,61,0
74.000000,204,58,0
76.000000,114,28,0
78.000000,212,47,0
80.000000,255,49,0
82.000000,0,0,0
84.000000,63,8,0
86.000000,191,19,0
88.000000,151,10,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,170,3,0
96.000000,196,10,0
98.000000,0,0,0
100.000000,0,0,0
