percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,121,149
28.000000,0,210,240
30.000000,0,206,86
32.000000,0,197,55
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,175,122,0
56.000000,175,111,0
58.000000,207,117,0
60.000000,234,117,0
62.000000,237,111,0
64.000000,215,94,0
66.000000,245,100,0
68.000000,208,78,0
70.000000,211,73,0
72.000000,199,62,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,215,8,0
92.000000,121,0,0
94.000000,0,0,0
96.000000,225,12,0
98.000000,200,16,0
100.000000,255,29,0
