wavelength,amplitude
2.165090000000e+03,1.300000000000e+02
2.178940000000e+03,1.500000000000e+02
2.181720000000e+03,1.500000000000e+02
2.199580000000e+03,1.500000000000e+02
2.214580000000e+03,1.500000000000e+02
2.225700000000e+03,2.000000000000e+02
2.227780000000e+03,1.500000000000e+02
2.230080000000e+03,2.500000000000e+02
2.244260000000e+03,2.500000000000e+02
2.263080000000e+03,2.000000000000e+02
2.293840000000e+03,2.500000000000e+02
2.392630000000e+03,2.500000000000e+02
2.406660000000e+03,1.500000000000e+02
2.441640000000e+03,1.000000000000e+02
2.492150000000e+03,2.000000000000e+02
2.618370000000e+03,2.500000000000e+02
2.766370000000e+03,2.500000000000e+02
2.961160000000e+03,2.500000000000e+02
3.036100000000e+03,2.500000000000e+02
3.063410000000e+03,2.500000000000e+02
3.108600000000e+03,2.000000000000e+02
3.194100000000e+03,1.500000000000e+02
3.243160000000e+03,1.500000000000e+02
3.247540000000e+03,1.000000000000e+03
3.273960000000e+03,1.000000000000e+03
3.290540000000e+03,1.500000000000e+02
3.307950000000e+03,2.500000000000e+02
3.337840000000e+03,1.500000000000e+02
3.530380000000e+03,2.000000000000e+02
4.062640000000e+03,2.000000000000e+02
4.651120000000e+03,2.000000000000e+02
5.105540000000e+03,1.500000000000e+02
5.153240000000e+03,2.000000000000e+02
5.218200000000e+03,2.500000000000e+02
5.292520000000e+03,1.500000000000e+02
5.700240000000e+03,1.500000000000e+02
5.782130000000e+03,1.500000000000e+02
7.933130000000e+03,1.500000000000e+02
8.092630000000e+03,2.000000000000e+02
