percent,R,G,B
0.000000,215,0,215
2.000000,240,0,255
4.000000,202,0,229
6.000000,146,0,176
8.000000,121,0,157
10.000000,67,0,94
12.000000,0,0,0
14.000000,54,0,90
16.000000,68,0,126
18.000000,0,0,0
20.000000,0,0,45
22.000000,0,48,134
24.000000,0,0,0
26.000000,0,50,61
28.000000,0,105,120
30.000000,0,91,38
32.000000,0,84,23
34.000000,0,110,16
36.000000,0,68,1
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
