percent,R,G,B
0.000000,199,0,199
2.000000,223,0,237
4.000000,225,0,255
6.000000,204,0,246
8.000000,173,0,224
10.000000,144,0,202
12.000000,102,0,156
14.000000,84,0,140
16.000000,84,0,154
18.000000,0,0,0
20.000000,2,0,146
22.000000,0,40,112
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,102,42
32.000000,0,35,10
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,64,81,0
50.000000,120,120,0
52.000000,83,66,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,103,51,0
62.000000,70,33,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,27,1,0
92.000000,75,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
