wavelength,amplitude
2.815150000000e+03,3.000000000000e+02
3.135250000000e+03,3.000000000000e+02
3.428480000000e+03,1.000000000000e+03
3.484590000000e+03,3.000000000000e+02
3.498110000000e+03,1.000000000000e+03
3.514330000000e+03,1.000000000000e+03
3.521380000000e+03,1.000000000000e+03
3.523490000000e+03,1.000000000000e+03
3.555340000000e+03,1.000000000000e+03
3.801490000000e+03,1.000000000000e+03
3.930770000000e+03,3.000000000000e+02
4.176940000000e+03,1.000000000000e+02
5.161740000000e+03,1.000000000000e+03
5.204400000000e+03,1.000000000000e+03
5.615510000000e+03,3.000000000000e+02
2.907030000000e+03,3.000000000000e+02
3.065400000000e+03,1.000000000000e+02
3.413170000000e+03,1.000000000000e+03
3.445250000000e+03,3.000000000000e+02
3.452360000000e+03,3.000000000000e+02
3.536010000000e+03,1.000000000000e+03
3.556650000000e+03,3.000000000000e+02
3.560920000000e+03,3.000000000000e+02
3.575680000000e+03,1.000000000000e+02
3.590280000000e+03,3.000000000000e+02
3.595470000000e+03,1.000000000000e+02
3.631090000000e+03,3.000000000000e+02
3.632870000000e+03,1.000000000000e+03
3.651940000000e+03,1.000000000000e+02
3.792990000000e+03,1.000000000000e+03
4.082240000000e+03,1.000000000000e+03
4.107590000000e+03,3.000000000000e+02
4.789930000000e+03,1.000000000000e+02
4.802210000000e+03,1.000000000000e+02
4.958290000000e+03,3.000000000000e+02
5.052080000000e+03,1.000000000000e+03
5.102930000000e+03,1.000000000000e+02
