percent,R,G,B
0.000000,255,0,255
2.000000,154,0,164
4.000000,157,0,177
6.000000,175,0,211
8.000000,174,0,226
10.000000,103,0,144
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,119,159
26.000000,0,124,152
28.000000,0,150,170
30.000000,0,209,87
32.000000,0,222,63
34.000000,0,246,36
36.000000,0,214,3
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,79,153,0
46.000000,117,180,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
