wavelength,amplitude
2.577140000000e+03,4.000000000000e+00
2.638770000000e+03,1.500000000000e+01
2.641270000000e+03,6.000000000000e+00
2.668340000000e+03,1.100000000000e+01
2.678290000000e+03,4.000000000000e+00
2.685660000000e+03,4.000000000000e+00
2.692030000000e+03,9.000000000000e+00
2.701140000000e+03,1.200000000000e+01
2.701900000000e+03,1.300000000000e+01
2.705280000000e+03,4.000000000000e+00
2.716980000000e+03,1.200000000000e+01
2.727780000000e+03,7.000000000000e+01
2.729440000000e+03,6.000000000000e+00
2.781890000000e+03,8.000000000000e+00
2.802840000000e+03,3.000000000000e+01
2.811750000000e+03,4.000000000000e+00
2.813940000000e+03,6.000000000000e+01
2.816180000000e+03,9.000000000000e+00
2.820780000000e+03,3.000000000000e+01
2.828720000000e+03,7.000000000000e+00
2.859670000000e+03,4.000000000000e+00
2.862570000000e+03,5.000000000000e+00
2.906680000000e+03,5.000000000000e+01
2.925040000000e+03,1.400000000000e+01
2.952680000000e+03,3.000000000000e+00
2.960210000000e+03,4.000000000000e+00
2.991330000000e+03,5.000000000000e+00
3.054940000000e+03,5.000000000000e+00
3.077360000000e+03,4.000000000000e+00
3.277780000000e+03,4.000000000000e+00
3.396580000000e+03,5.000000000000e+00
3.521090000000e+03,8.000000000000e+00
3.688420000000e+03,1.100000000000e+02
3.724940000000e+03,3.000000000000e+02
3.741310000000e+03,6.000000000000e+00
3.761120000000e+03,4.000000000000e+00
3.819670000000e+03,6.000000000000e+02
3.907100000000e+03,5.000000000000e+02
3.930480000000e+03,5.000000000000e+02
3.971960000000e+03,5.000000000000e+02
4.129700000000e+03,6.000000000000e+02
4.205050000000e+03,1.000000000000e+03
4.355090000000e+03,4.000000000000e+00
4.435560000000e+03,2.500000000000e+02
4.522570000000e+03,5.000000000000e+01
5.966070000000e+03,6.000000000000e+00
6.049510000000e+03,7.000000000000e+00
6.173050000000e+03,6.000000000000e+00
6.303410000000e+03,4.000000000000e+00
6.437640000000e+03,1.400000000000e+01
6.645110000000e+03,2.500000000000e+01
7.077100000000e+03,6.000000000000e+00
7.194810000000e+03,1.000000000000e+01
7.217550000000e+03,1.000000000000e+01
7.301170000000e+03,9.000000000000e+00
7.370220000000e+03,1.200000000000e+01
7.426570000000e+03,5.000000000000e+00
