percent,R,G,B
0.000000,227,0,227
2.000000,225,0,239
4.000000,222,0,251
6.000000,132,0,159
8.000000,178,0,231
10.000000,182,0,255
12.000000,100,0,153
14.000000,64,0,107
16.000000,109,0,201
18.000000,58,0,143
20.000000,0,0,35
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,69,48,0
56.000000,74,47,0
58.000000,49,28,0
60.000000,59,29,0
62.000000,49,23,0
64.000000,34,15,0
66.000000,98,40,0
68.000000,0,0,0
70.000000,91,31,0
72.000000,100,31,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,7,1,0
82.000000,70,11,0
84.000000,82,10,0
86.000000,98,9,0
88.000000,92,6,0
90.000000,91,3,0
92.000000,36,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
