percent,R,G,B
0.000000,88,0,88
2.000000,118,0,125
4.000000,73,0,83
6.000000,70,0,84
8.000000,30,0,40
10.000000,53,0,74
12.000000,55,0,84
14.000000,29,0,49
16.000000,0,0,0
18.000000,59,0,148
20.000000,4,0,255
22.000000,0,85,234
24.000000,0,0,0
26.000000,0,67,83
28.000000,0,101,116
30.000000,0,117,48
32.000000,0,119,33
34.000000,0,164,24
36.000000,0,174,2
38.000000,17,152,0
40.000000,39,159,0
42.000000,53,139,0
44.000000,72,140,0
46.000000,74,114,0
48.000000,80,100,0
50.000000,140,140,0
52.000000,103,82,0
54.000000,149,104,0
56.000000,153,97,0
58.000000,132,75,0
60.000000,131,65,0
62.000000,115,54,0
64.000000,116,51,0
66.000000,119,48,0
68.000000,42,16,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,66,19,0
76.000000,115,29,0
78.000000,79,17,0
80.000000,64,12,0
82.000000,64,10,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,83,1,0
96.000000,58,3,0
98.000000,0,0,0
100.000000,0,0,0
