wavelength,amplitude
9.518700000000e+02,5.000000000000e+02
9.548260000000e+02,1.000000000000e+03
9.555460000000e+02,8.000000000000e+02
9.585250000000e+02,5.000000000000e+02
9.738950000000e+02,4.000000000000e+02
9.762170000000e+02,1.000000000000e+02
9.777430000000e+02,1.000000000000e+02
6.239651000000e+03,1.300000000000e+02
6.348508000000e+03,1.000000000000e+02
6.413651000000e+03,8.000000000000e+01
6.690481000000e+03,2.000000000000e+01
6.773984000000e+03,7.000000000000e+01
6.834264000000e+03,9.000000000000e+01
6.856030000000e+03,5.000000000000e+02
6.870215000000e+03,8.000000000000e+01
6.902475000000e+03,1.500000000000e+02
6.909816000000e+03,6.000000000000e+01
6.966349000000e+03,4.000000000000e+01
7.037469000000e+03,5.000000000000e+02
7.127890000000e+03,3.000000000000e+02
7.202360000000e+03,1.500000000000e+02
7.311019000000e+03,1.500000000000e+02
7.331957000000e+03,5.000000000000e+01
7.398688000000e+03,1.000000000000e+02
7.425645000000e+03,4.000000000000e+01
7.482723000000e+03,2.000000000000e+01
7.489155000000e+03,2.500000000000e+01
7.552235000000e+03,5.000000000000e+01
7.573384000000e+03,5.000000000000e+01
7.607170000000e+03,7.000000000000e+01
7.754696000000e+03,2.000000000000e+02
7.800212000000e+03,1.500000000000e+02
8.129260000000e+03,6.000000000000e+00
8.179339000000e+03,6.000000000000e+00
8.214726000000e+03,2.500000000000e+01
8.230773000000e+03,3.000000000000e+01
8.298581000000e+03,2.000000000000e+01
