percent,R,G,B
0.000000,255,0,255
2.000000,232,0,246
4.000000,173,0,195
6.000000,167,0,202
8.000000,134,0,174
10.000000,114,0,160
12.000000,131,0,200
14.000000,118,0,197
16.000000,97,0,180
18.000000,32,0,81
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,140,159
30.000000,0,140,58
32.000000,0,0,0
34.000000,0,185,27
36.000000,0,179,2
38.000000,20,177,0
40.000000,35,143,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
