percent,R,G,B
0.000000,216,0,216
2.000000,193,0,205
4.000000,204,0,230
6.000000,211,0,255
8.000000,176,0,228
10.000000,169,0,237
12.000000,156,0,238
14.000000,142,0,237
16.000000,123,0,227
18.000000,85,0,210
20.000000,3,0,192
22.000000,0,69,191
24.000000,0,135,180
26.000000,0,107,131
28.000000,0,0,0
30.000000,0,152,63
32.000000,0,164,46
34.000000,0,180,27
36.000000,0,146,2
38.000000,8,75,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,66,101,0
48.000000,102,128,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,64,40,0
58.000000,140,79,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
