wavelength,amplitude
1.716784000000e+03,8.000000000000e+01
1.750043000000e+03,8.000000000000e+01
1.774176000000e+03,8.000000000000e+01
1.785046000000e+03,8.000000000000e+01
1.841328000000e+03,8.000000000000e+01
1.842410000000e+03,8.000000000000e+01
1.853134000000e+03,8.000000000000e+01
1.860086000000e+03,2.000000000000e+02
1.874256000000e+03,1.200000000000e+02
1.904702000000e+03,2.000000000000e+02
1.917592000000e+03,1.200000000000e+02
1.929826000000e+03,2.000000000000e+02
1.944731000000e+03,8.000000000000e+01
1.955115000000e+03,8.000000000000e+01
1.962013000000e+03,2.000000000000e+02
1.970880000000e+03,8.000000000000e+01
1.987849000000e+03,1.200000000000e+02
1.988267000000e+03,1.200000000000e+02
1.998887000000e+03,2.000000000000e+02
2.011290000000e+03,8.000000000000e+01
2.019068000000e+03,7.000000000000e+02
2.041712000000e+03,9.000000000000e+02
2.043770000000e+03,6.000000000000e+02
2.054461000000e+03,1.500000000000e+02
2.057238000000e+03,8.000000000000e+01
2.065215000000e+03,3.000000000000e+02
2.068656000000e+03,1.000000000000e+03
2.086021000000e+03,1.500000000000e+02
2.094258000000e+03,8.000000000000e+02
2.105824000000e+03,9.000000000000e+01
2.198714000000e+03,1.300000000000e+02
2.592534000000e+03,2.000000000000e+02
2.651172000000e+03,5.000000000000e+02
2.651568000000e+03,2.000000000000e+02
2.691341000000e+03,2.000000000000e+02
2.709624000000e+03,3.000000000000e+02
2.754588000000e+03,2.500000000000e+02
3.039067000000e+03,3.000000000000e+02
3.067021000000e+03,2.500000000000e+02
3.269489000000e+03,4.000000000000e+01
1.125283000000e+04,9.000000000000e+01
1.161481000000e+04,7.000000000000e+01
1.171476000000e+04,2.500000000000e+02
1.206920000000e+04,5.000000000000e+02
1.239158000000e+04,4.000000000000e+02
1.310761000000e+04,9.000000000000e+01
1.482238000000e+04,2.000000000000e+02
