wavelength,amplitude
9.262256000000e+02,1.500000000000e+01
9.307482000000e+02,2.000000000000e+01
9.378034000000e+02,3.000000000000e+01
9.497430000000e+02,5.000000000000e+01
9.725367000000e+02,1.000000000000e+02
1.025722200000e+03,3.000000000000e+02
1.215668240000e+03,1.000000000000e+03
1.215673640000e+03,5.000000000000e+02
3.835384000000e+03,5.000000000000e+00
3.889049000000e+03,6.000000000000e+00
3.970072000000e+03,8.000000000000e+00
4.101740000000e+03,1.500000000000e+01
4.340462000000e+03,3.000000000000e+01
4.861278600000e+03,3.000000000000e+01
4.861287000000e+03,1.000000000000e+01
4.861361500000e+03,6.000000000000e+01
6.562711000000e+03,9.000000000000e+01
6.562724800000e+03,3.000000000000e+01
6.562851800000e+03,1.800000000000e+02
9.545970000000e+03,5.000000000000e+00
1.004940000000e+04,7.000000000000e+00
1.093810000000e+04,1.200000000000e+01
1.281807000000e+04,2.000000000000e+01
1.875101000000e+04,4.000000000000e+01
2.165530000000e+04,5.000000000000e+00
2.625150000000e+04,8.000000000000e+00
4.051160000000e+04,1.500000000000e+01
4.652510000000e+04,4.000000000000e+00
7.457800000000e+04,6.000000000000e+00
1.236850000000e+05,3.000000000000e+00
