wavelength,amplitude
2.314541000000e+02,1.500000000000e+01
2.325842000000e+02,2.000000000000e+01
2.343472000000e+02,3.000000000000e+01
2.373307000000e+02,5.000000000000e+01
2.430266000000e+02,1.000000000000e+02
2.563166000000e+02,3.000000000000e+02
2.563177000000e+02,1.500000000000e+02
3.037804000000e+02,1.000000000000e+03
3.037858000000e+02,5.000000000000e+02
9.587000000000e+02,5.000000000000e+00
9.721100000000e+02,6.000000000000e+00
9.923600000000e+02,8.000000000000e+00
1.025270000000e+03,1.500000000000e+01
1.084940000000e+03,3.000000000000e+01
1.215090000000e+03,3.500000000000e+01
1.215170000000e+03,5.000000000000e+01
1.640332100000e+03,1.200000000000e+02
1.640344700000e+03,5.000000000000e+01
1.640375000000e+03,7.000000000000e+00
1.640391400000e+03,2.500000000000e+01
1.640474200000e+03,1.800000000000e+02
1.640489700000e+03,2.500000000000e+01
1.640532600000e+03,1.500000000000e+01
2.385400000000e+03,7.000000000000e+00
2.511200000000e+03,9.000000000000e+00
2.733300000000e+03,1.200000000000e+01
3.203100000000e+03,1.500000000000e+01
4.685376900000e+03,4.000000000000e+00
4.685407200000e+03,3.000000000000e+00
4.685703800000e+03,1.500000000000e+01
4.685804100000e+03,1.200000000000e+01
5.411520000000e+03,5.000000000000e+00
6.560100000000e+03,8.000000000000e+00
1.012360000000e+04,1.500000000000e+01
1.162640000000e+04,4.000000000000e+00
1.863680000000e+04,6.000000000000e+00
3.090850000000e+04,3.000000000000e+00
