percent,R,G,B
0.000000,85,0,85
2.000000,222,0,236
4.000000,151,0,170
6.000000,122,0,147
8.000000,82,0,107
10.000000,19,0,27
12.000000,0,0,0
14.000000,46,0,77
16.000000,102,0,188
18.000000,68,0,170
20.000000,0,0,0
22.000000,0,42,115
24.000000,0,77,103
26.000000,0,0,0
28.000000,0,100,114
30.000000,0,169,70
32.000000,0,124,35
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,147,147,0
52.000000,255,204,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,65,22,0
72.000000,200,63,0
74.000000,0,0,0
76.000000,41,10,0
78.000000,26,6,0
80.000000,134,25,0
82.000000,189,30,0
84.000000,0,0,0
86.000000,122,12,0
88.000000,124,8,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,22,2,0
