wavelength,amplitude
2.012780000000e+03,7.000000000000e+02
2.028180000000e+03,1.000000000000e+03
2.096180000000e+03,1.400000000000e+02
2.210820000000e+03,6.000000000000e+01
2.254010000000e+03,4.000000000000e+01
2.277160000000e+03,7.000000000000e+01
2.322470000000e+03,7.000000000000e+01
2.323250000000e+03,4.000000000000e+01
2.324890000000e+03,4.000000000000e+01
2.347440000000e+03,4.000000000000e+01
2.351220000000e+03,6.000000000000e+01
2.393360000000e+03,5.000000000000e+01
2.393830000000e+03,8.000000000000e+01
2.405420000000e+03,6.000000000000e+01
2.410140000000e+03,4.000000000000e+01
2.417690000000e+03,4.000000000000e+01
2.447250000000e+03,5.000000000000e+01
2.460490000000e+03,5.000000000000e+01
2.464190000000e+03,5.000000000000e+01
2.512690000000e+03,7.000000000000e+01
2.513030000000e+03,7.000000000000e+01
2.516880000000e+03,1.000000000000e+02
2.531190000000e+03,4.000000000000e+01
2.551400000000e+03,4.000000000000e+01
2.571670000000e+03,1.000000000000e+02
2.573900000000e+03,4.000000000000e+01
2.576820000000e+03,4.000000000000e+01
2.578140000000e+03,4.000000000000e+01
2.582540000000e+03,4.000000000000e+01
2.606370000000e+03,5.000000000000e+01
2.607030000000e+03,5.000000000000e+01
2.622740000000e+03,5.000000000000e+01
2.638710000000e+03,1.300000000000e+02
2.641410000000e+03,1.300000000000e+02
2.647290000000e+03,8.000000000000e+01
2.738760000000e+03,8.000000000000e+01
2.751810000000e+03,4.000000000000e+01
2.773360000000e+03,1.200000000000e+02
2.820220000000e+03,1.400000000000e+02
2.822680000000e+03,6.000000000000e+01
2.861010000000e+03,9.000000000000e+01
2.861700000000e+03,9.000000000000e+01
2.919590000000e+03,4.000000000000e+01
2.929630000000e+03,6.000000000000e+01
2.937800000000e+03,8.000000000000e+01
2.968810000000e+03,8.000000000000e+01
2.975880000000e+03,1.000000000000e+02
3.012900000000e+03,1.300000000000e+02
3.016940000000e+03,1.300000000000e+02
3.031160000000e+03,5.000000000000e+01
3.101400000000e+03,4.000000000000e+01
3.109120000000e+03,8.000000000000e+01
3.134720000000e+03,1.000000000000e+02
3.162610000000e+03,8.000000000000e+01
3.176860000000e+03,5.000000000000e+01
3.193530000000e+03,4.000000000000e+01
3.194190000000e+03,8.000000000000e+01
3.253700000000e+03,1.000000000000e+02
3.352060000000e+03,4.000000000000e+01
3.389830000000e+03,9.000000000000e+01
3.399800000000e+03,2.500000000000e+02
3.479280000000e+03,6.000000000000e+01
3.505230000000e+03,1.400000000000e+02
3.535540000000e+03,1.200000000000e+02
3.552700000000e+03,6.000000000000e+01
3.561660000000e+03,1.500000000000e+02
3.569040000000e+03,1.300000000000e+02
3.630870000000e+03,4.000000000000e+01
3.644360000000e+03,9.000000000000e+01
3.701150000000e+03,4.000000000000e+01
3.719280000000e+03,8.000000000000e+01
3.793370000000e+03,8.000000000000e+01
3.880820000000e+03,4.000000000000e+01
3.918090000000e+03,7.000000000000e+01
4.093160000000e+03,6.000000000000e+01
