wavelength,amplitude
2.705610000000e+03,3.000000000000e+02
2.718590000000e+03,1.100000000000e+02
2.761630000000e+03,2.000000000000e+02
2.779370000000e+03,2.000000000000e+02
2.817680000000e+03,1.000000000000e+02
2.845830000000e+03,2.000000000000e+02
2.850960000000e+03,1.200000000000e+02
2.866370000000e+03,1.000000000000e+03
2.889620000000e+03,4.000000000000e+02
2.898260000000e+03,8.000000000000e+02
2.904410000000e+03,5.000000000000e+02
2.904750000000e+03,4.000000000000e+02
2.916480000000e+03,9.000000000000e+02
2.918580000000e+03,2.500000000000e+02
2.929900000000e+03,2.000000000000e+02
2.940770000000e+03,9.000000000000e+02
2.950680000000e+03,5.000000000000e+02
2.954200000000e+03,5.000000000000e+02
2.958020000000e+03,2.500000000000e+02
2.964880000000e+03,6.000000000000e+02
2.966930000000e+03,3.000000000000e+02
2.980810000000e+03,5.000000000000e+02
3.005560000000e+03,4.000000000000e+02
3.016780000000e+03,2.500000000000e+02
3.018310000000e+03,4.000000000000e+02
3.020530000000e+03,5.000000000000e+02
3.050760000000e+03,3.000000000000e+02
3.057020000000e+03,5.000000000000e+02
3.067410000000e+03,4.000000000000e+02
3.072880000000e+03,1.000000000000e+03
3.074790000000e+03,1.100000000000e+02
3.080840000000e+03,2.000000000000e+02
3.131810000000e+03,3.000000000000e+02
3.156630000000e+03,2.000000000000e+02
3.159820000000e+03,1.200000000000e+02
3.168390000000e+03,2.000000000000e+02
3.172940000000e+03,4.000000000000e+02
3.206110000000e+03,1.400000000000e+02
3.247660000000e+03,1.500000000000e+02
3.249530000000e+03,1.000000000000e+02
3.310270000000e+03,1.500000000000e+02
3.312860000000e+03,3.000000000000e+02
3.332730000000e+03,4.000000000000e+02
3.358910000000e+03,1.000000000000e+02
3.392810000000e+03,1.000000000000e+02
3.397260000000e+03,1.000000000000e+02
3.397600000000e+03,1.000000000000e+02
3.417340000000e+03,1.000000000000e+02
3.419180000000e+03,2.000000000000e+02
3.472400000000e+03,3.000000000000e+02
3.497160000000e+03,1.100000000000e+02
3.497490000000e+03,4.000000000000e+02
3.523020000000e+03,4.000000000000e+02
3.536620000000e+03,3.000000000000e+02
3.567360000000e+03,1.200000000000e+02
3.599870000000e+03,2.500000000000e+02
3.616890000000e+03,4.000000000000e+02
3.649100000000e+03,1.500000000000e+02
3.675740000000e+03,2.000000000000e+02
3.682240000000e+03,1.000000000000e+03
3.696510000000e+03,1.300000000000e+02
3.717800000000e+03,5.000000000000e+02
3.733790000000e+03,2.000000000000e+02
3.746800000000e+03,2.000000000000e+02
3.777640000000e+03,6.000000000000e+02
3.785460000000e+03,6.000000000000e+02
3.800380000000e+03,4.000000000000e+02
3.811780000000e+03,1.500000000000e+02
3.820730000000e+03,6.000000000000e+02
3.830020000000e+03,1.300000000000e+02
3.849180000000e+03,4.000000000000e+02
3.858310000000e+03,2.500000000000e+02
3.860910000000e+03,1.000000000000e+02
3.899940000000e+03,3.000000000000e+02
3.931380000000e+03,1.500000000000e+02
3.951830000000e+03,2.000000000000e+02
4.062840000000e+03,1.000000000000e+02
4.174340000000e+03,5.000000000000e+02
4.294790000000e+03,1.500000000000e+02
4.356330000000e+03,1.100000000000e+02
4.565940000000e+03,1.100000000000e+02
4.598800000000e+03,2.500000000000e+02
4.620860000000e+03,1.000000000000e+02
4.800500000000e+03,1.400000000000e+02
5.181860000000e+03,1.000000000000e+02
5.550600000000e+03,1.000000000000e+02
5.552120000000e+03,1.000000000000e+02
7.131810000000e+03,2.500000000000e+02
7.237100000000e+03,3.000000000000e+02
7.240870000000e+03,2.000000000000e+02
7.624400000000e+03,1.500000000000e+02
7.845350000000e+03,1.400000000000e+02
7.994730000000e+03,1.100000000000e+02
