percent,R,G,B
0.000000,255,0,255
2.000000,215,0,228
4.000000,170,0,192
6.000000,116,0,140
8.000000,133,0,172
10.000000,137,0,191
12.000000,104,0,159
14.000000,96,0,161
16.000000,0,0,0
18.000000,52,0,129
20.000000,3,0,195
22.000000,0,39,108
24.000000,0,104,139
26.000000,0,114,140
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,141,21
36.000000,0,110,1
38.000000,0,0,0
40.000000,0,0,0
42.000000,39,102,0
44.000000,88,170,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,147,23,0
84.000000,169,22,0
86.000000,203,20,0
88.000000,38,2,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,112,2,0
96.000000,157,8,0
98.000000,0,0,0
100.000000,135,15,0
