percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,225,0,255
6.000000,183,0,221
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,67,19
34.000000,0,105,15
36.000000,0,87,1
38.000000,0,0,0
40.000000,39,156,0
42.000000,48,127,0
44.000000,0,0,0
46.000000,118,182,0
48.000000,141,176,0
50.000000,32,32,0
52.000000,131,105,0
54.000000,45,31,0
56.000000,0,0,0
58.000000,199,113,0
60.000000,178,89,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,62,4,0
90.000000,42,1,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
