wavelength,amplitude
1.849499000000e+03,1.000000000000e+03
2.536517000000e+03,1.000000000000e+03
2.652039000000e+03,2.500000000000e+01
2.653679000000e+03,4.000000000000e+01
2.967280000000e+03,2.500000000000e+02
3.021498000000e+03,7.000000000000e+01
3.125668000000e+03,9.000000000000e+01
3.131548000000e+03,8.000000000000e+01
3.131839000000e+03,8.000000000000e+01
3.650153000000e+03,6.000000000000e+02
3.654836000000e+03,7.000000000000e+01
3.663279000000e+03,5.000000000000e+01
4.046563000000e+03,4.000000000000e+02
4.339223000000e+03,6.000000000000e+01
4.347494000000e+03,1.000000000000e+02
4.358328000000e+03,1.000000000000e+03
5.460735000000e+03,5.000000000000e+02
5.769598000000e+03,5.000000000000e+01
5.790663000000e+03,6.000000000000e+01
7.081900000000e+03,2.500000000000e+01
1.013976000000e+04,2.000000000000e+02
1.357021000000e+04,5.000000000000e+01
1.367351000000e+04,4.000000000000e+01
1.529582000000e+04,5.000000000000e+01
1.707279000000e+04,5.000000000000e+01
2.325307000000e+04,2.500000000000e+01
