wavelength,amplitude
3.449350000000e+03,4.000000000000e+01
3.510730000000e+03,9.000000000000e+01
3.579120000000e+03,9.000000000000e+01
3.599480000000e+03,4.000000000000e+01
3.618430000000e+03,5.000000000000e+01
3.662290000000e+03,2.000000000000e+02
3.662990000000e+03,5.000000000000e+01
3.666650000000e+03,8.000000000000e+01
3.667970000000e+03,1.500000000000e+02
3.669520000000e+03,5.000000000000e+01
3.679190000000e+03,8.000000000000e+01
3.679700000000e+03,8.000000000000e+01
3.682650000000e+03,8.000000000000e+01
3.690650000000e+03,7.000000000000e+01
3.691950000000e+03,4.000000000000e+01
3.700040000000e+03,5.000000000000e+01
3.709760000000e+03,4.000000000000e+01
3.712880000000e+03,5.000000000000e+01
3.720720000000e+03,5.000000000000e+01
3.731400000000e+03,1.200000000000e+02
3.732090000000e+03,4.000000000000e+01
3.736350000000e+03,9.000000000000e+01
3.769090000000e+03,4.000000000000e+01
3.811860000000e+03,6.000000000000e+01
3.829270000000e+03,4.000000000000e+01
3.849880000000e+03,3.000000000000e+01
3.862620000000e+03,6.000000000000e+01
3.890420000000e+03,6.000000000000e+01
3.904440000000e+03,4.000000000000e+01
3.911800000000e+03,4.000000000000e+01
3.919450000000e+03,4.000000000000e+01
3.938850000000e+03,2.500000000000e+01
3.950560000000e+03,2.500000000000e+01
3.955730000000e+03,7.000000000000e+01
3.959680000000e+03,6.000000000000e+01
3.975880000000e+03,2.500000000000e+01
3.976930000000e+03,4.000000000000e+01
3.999580000000e+03,4.000000000000e+01
4.003390000000e+03,2.500000000000e+01
4.027210000000e+03,4.000000000000e+01
4.028860000000e+03,3.000000000000e+01
4.037620000000e+03,2.500000000000e+01
4.040810000000e+03,3.000000000000e+02
4.047520000000e+03,2.500000000000e+01
4.053870000000e+03,9.000000000000e+02
4.057550000000e+03,3.000000000000e+01
4.060310000000e+03,2.500000000000e+01
4.068050000000e+03,8.000000000000e+01
4.071830000000e+03,3.000000000000e+01
4.073130000000e+03,3.000000000000e+01
4.073510000000e+03,3.000000000000e+01
4.083670000000e+03,2.500000000000e+01
4.100220000000e+03,2.500000000000e+01
4.103800000000e+03,1.000000000000e+03
4.106500000000e+03,3.000000000000e+01
4.108620000000e+03,3.000000000000e+02
4.112000000000e+03,3.000000000000e+01
4.116730000000e+03,3.000000000000e+01
4.120200000000e+03,1.500000000000e+02
4.125650000000e+03,1.500000000000e+02
4.127160000000e+03,5.000000000000e+02
4.134540000000e+03,3.000000000000e+01
4.136220000000e+03,1.500000000000e+02
4.142190000000e+03,2.500000000000e+01
4.148970000000e+03,3.000000000000e+01
4.163030000000e+03,9.000000000000e+02
4.173200000000e+03,3.000000000000e+02
4.194350000000e+03,6.000000000000e+01
4.222290000000e+03,3.000000000000e+01
4.223470000000e+03,3.000000000000e+01
4.227130000000e+03,2.000000000000e+02
4.243780000000e+03,3.000000000000e+01
4.254380000000e+03,1.500000000000e+02
4.264050000000e+03,6.000000000000e+01
4.266040000000e+03,3.000000000000e+01
4.350730000000e+03,1.500000000000e+02
4.939010000000e+03,3.000000000000e+01
4.979970000000e+03,2.500000000000e+01
5.982850000000e+03,2.500000000000e+01
6.604910000000e+03,3.000000000000e+01
7.555090000000e+03,1.500000000000e+01
