wavelength,amplitude
1.259510000000e+03,4.000000000000e+01
1.289400000000e+03,4.000000000000e+01
1.300340000000e+03,1.300000000000e+02
1.302980000000e+03,4.000000000000e+01
1.313950000000e+03,4.000000000000e+01
1.317540000000e+03,4.000000000000e+01
1.355100000000e+03,7.000000000000e+01
1.357970000000e+03,4.000000000000e+01
1.360970000000e+03,7.000000000000e+01
1.361110000000e+03,4.000000000000e+01
1.383230000000e+03,5.000000000000e+01
1.390750000000e+03,4.000000000000e+01
1.425490000000e+03,1.100000000000e+02
1.446260000000e+03,7.000000000000e+01
1.453180000000e+03,7.000000000000e+01
1.457390000000e+03,7.000000000000e+01
1.457470000000e+03,7.000000000000e+01
1.457980000000e+03,1.300000000000e+02
1.459150000000e+03,5.000000000000e+01
1.492890000000e+03,7.000000000000e+01
1.507040000000e+03,7.000000000000e+01
1.514680000000e+03,7.000000000000e+01
1.518050000000e+03,2.000000000000e+02
1.593580000000e+03,7.000000000000e+01
1.617600000000e+03,7.000000000000e+01
1.702070000000e+03,2.000000000000e+02
1.782760000000e+03,1.500000000000e+02
1.799090000000e+03,7.000000000000e+01
1.830380000000e+03,1.000000000000e+03
1.844450000000e+03,2.000000000000e+02
2.061630000000e+03,2.500000000000e+01
5.119290000000e+03,1.300000000000e+02
6.619660000000e+03,7.000000000000e+01
7.402060000000e+03,7.000000000000e+01
7.468990000000e+03,7.000000000000e+01
8.043740000000e+03,1.300000000000e+02
8.240050000000e+03,5.000000000000e+01
8.393300000000e+03,1.300000000000e+02
8.857500000000e+03,4.000000000000e+01
9.022400000000e+03,7.000000000000e+01
9.058330000000e+03,2.000000000000e+02
9.113910000000e+03,1.500000000000e+02
9.426710000000e+03,5.000000000000e+01
9.427150000000e+03,4.000000000000e+01
9.653060000000e+03,4.000000000000e+01
9.731730000000e+03,7.000000000000e+01
1.046654000000e+04,7.000000000000e+01
