wavelength,amplitude
1.586340000000e+03,2.000000000000e+01
1.936217000000e+03,6.000000000000e+00
1.966711000000e+03,6.000000000000e+00
1.977359000000e+03,1.100000000000e+01
2.078608000000e+03,1.400000000000e+01
2.306046000000e+03,6.000000000000e+00
2.554434000000e+03,9.000000000000e+00
2.890179000000e+03,7.000000000000e+00
2.941050000000e+03,6.000000000000e+00
3.716140000000e+03,2.000000000000e+01
3.799210000000e+03,1.300000000000e+01
3.834650000000e+03,1.400000000000e+01
3.842180000000e+03,1.100000000000e+01
3.962350000000e+03,1.400000000000e+01
4.056940000000e+03,2.500000000000e+01
4.620140000000e+03,1.400000000000e+01
4.638160000000e+03,2.000000000000e+01
4.644580000000e+03,1.200000000000e+01
4.655620000000e+03,2.000000000000e+01
4.656740000000e+03,2.000000000000e+01
4.684800000000e+03,2.500000000000e+01
5.120800000000e+03,1.500000000000e+01
5.121750000000e+03,1.100000000000e+01
5.175420000000e+03,1.300000000000e+01
5.436700000000e+03,1.200000000000e+01
5.513000000000e+03,2.000000000000e+01
5.523280000000e+03,1.400000000000e+01
5.576900000000e+03,1.300000000000e+01
5.636700000000e+03,1.100000000000e+01
5.853150000000e+03,1.200000000000e+01
5.903400000000e+03,2.500000000000e+01
5.915400000000e+03,1.400000000000e+01
6.095950000000e+03,1.400000000000e+01
6.108660000000e+03,1.200000000000e+01
6.128700000000e+03,1.300000000000e+01
6.129400000000e+03,1.300000000000e+01
6.132100000000e+03,2.000000000000e+01
6.228300000000e+03,1.500000000000e+01
6.304800000000e+03,1.500000000000e+01
6.362300000000e+03,1.500000000000e+01
6.469000000000e+03,1.500000000000e+01
6.541200000000e+03,1.200000000000e+01
6.891560000000e+03,2.000000000000e+01
7.182890000000e+03,2.000000000000e+01
7.276500000000e+03,1.200000000000e+01
7.350600000000e+03,2.000000000000e+01
7.740700000000e+03,1.200000000000e+01
8.227000000000e+03,1.300000000000e+01
9.213000000000e+03,1.200000000000e+01
