percent,R,G,B
0.000000,196,0,196
2.000000,143,0,152
4.000000,141,0,159
6.000000,150,0,181
8.000000,84,0,109
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,4,0,218
22.000000,0,93,255
24.000000,0,40,54
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,155,44
34.000000,0,191,28
36.000000,0,74,1
38.000000,0,0,0
40.000000,29,119,0
42.000000,73,190,0
44.000000,102,197,0
46.000000,102,158,0
48.000000,0,0,0
50.000000,96,96,0
52.000000,210,168,0
54.000000,159,111,0
56.000000,115,72,0
58.000000,244,138,0
60.000000,167,83,0
62.000000,167,78,0
64.000000,179,78,0
66.000000,142,58,0
68.000000,162,61,0
70.000000,85,29,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,124,31,0
78.000000,156,34,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,162,21,0
86.000000,153,15,0
88.000000,174,12,0
90.000000,128,4,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,136,11,0
100.000000,84,9,0
